source,target,value
Rwanda,Congo,5985
Angola,Dem. Rep. of the Congo,90729
Burundi,Dem. Rep. of the Congo,873
Central African Rep.,Dem. Rep. of the Congo,2864
Rwanda,Dem. Rep. of the Congo,1510
Sudan,Dem. Rep. of the Congo,41265
Somalia,Eritrea,2990
Sudan,Eritrea,622
Eritrea,Ethiopia,5126
Somalia,Ethiopia,37532
Sudan,Ethiopia,82001
Afghanistan,France,1256
Angola,France,1777
Azerbaijan,France,253
Burundi,France,219
Central African Rep.,France,220
Dem. Rep. of the Congo,France,6339
Iraq,France,1597
Liberia,France,148
Sri Lanka,France,15938
Mali,France,115
Nigeria,France,181
Rwanda,France,1329
Somalia,France,563
Viet Nam,France,10818
Sudan,France,292
Syrian Arab Rep.,France,207
Angola,Gabon,124
Liberia,Ghana,21696
Liberia,Guinea,102901
Dem. Rep. of the Congo,Cote d'Ivoire,150
Liberia,Cote d'Ivoire,43000
Rwanda,Cote d'Ivoire,302
Afghanistan,India,11371
Sri Lanka,India,63767
Myanmar,India,1043
Afghanistan,Indonesia,148
Iraq,Indonesia,297
Syrian Arab Rep.,Iraq,100
Iraq,Jordan,1069
Myanmar,Japan,128
Viet Nam,Japan,1906
Afghanistan,Kazakhstan,2250
Palestinian,Kazakhstan,1149
Burundi,Kenya,402
Dem. Rep. of the Congo,Kenya,1134
Eritrea,Kenya,431
Rwanda,Kenya,2509
Somalia,Kenya,155767
Sudan,Kenya,57779
Afghanistan,Kyrgyzstan,871
Palestinian,Kuwait,911
Iraq,Kuwait,419
Somalia,Kuwait,107
Palestinian,Libya,1000
Somalia,Libya,650
Iraq,Lebanon,1756
Somalia,Lebanon,136
Sudan,Lebanon,621
Myanmar,Malaysia,5247
Angola,Namibia,15636
Liberia,Nigeria,1792
Afghanistan,Pakistan,1226569
Angola,South Africa,1144
Burundi,South Africa,888
Dem. Rep. of the Congo,South Africa,3544
Rwanda,South Africa,982
Somalia,South Africa,454
Sudan,South Africa,152
Burundi,Rwanda,1554
Dem. Rep. of the Congo,Rwanda,29281
Afghanistan,Saudi Arabia,109
Iraq,Saudi Arabia,5103
Liberia,Senegal,235
Rwanda,Senegal,307
Liberia,Sierra Leone,51367
Eritrea,Sudan,110628
Burundi,Eswatini,145
Afghanistan,Switzerland,941
Dem. Rep. of the Congo,Switzerland,240
Iraq,Switzerland,2160
Sri Lanka,Switzerland,1171
Rwanda,Switzerland,153
Somalia,Switzerland,317
Viet Nam,Switzerland,2498
Sudan,Switzerland,118
Syrian Arab Rep.,Switzerland,103
Afghanistan,Syrian Arab Rep.,428
Iraq,Syrian Arab Rep.,1716
Somalia,Syrian Arab Rep.,402
Sudan,Syrian Arab Rep.,133
Burundi,United Rep. of Tanzania,540861
Dem. Rep. of the Congo,United Rep. of Tanzania,140301
Rwanda,United Rep. of Tanzania,2717
Somalia,United Rep. of Tanzania,3493
Myanmar,Thailand,112238
Afghanistan,Tajikistan,3427
Afghanistan,Turkmenistan,1263
Azerbaijan,Turkmenistan,146
Rwanda,Togo,791
Afghanistan,Turkey,103
Iraq,Turkey,376
Burundi,Uganda,245
Dem. Rep. of the Congo,Uganda,8536
Rwanda,Uganda,18937
Somalia,Uganda,879
Sudan,Uganda,188194
Afghanistan,Ukraine,1572
Azerbaijan,Ukraine,232
Afghanistan,Uzbekistan,2611
Palestinian,Yemen,149
Iraq,Yemen,229
Somalia,Yemen,80763
Angola,Zambia,25574
Burundi,Zambia,613
Dem. Rep. of the Congo,Zambia,42739
Rwanda,Zambia,1037
Somalia,Zambia,941
Angola,Zimbabwe,230
Burundi,Zimbabwe,909
Dem. Rep. of the Congo,Zimbabwe,4695
Rwanda,Zimbabwe,2901
Sudan,Zimbabwe,105
Dem. Rep. of the Congo,Angola,13015
Rwanda,Angola,120
Somalia,Egypt,3068
Sudan,Egypt,14178
Azerbaijan,Armenia,186296
Afghanistan,Azerbaijan,171
Dem. Rep. of the Congo,Burundi,40568
Rwanda,Burundi,397
Burundi,Benin,132
Dem. Rep. of the Congo,Benin,852
Nigeria,Benin,242
Rwanda,Benin,604
Myanmar,Bangladesh,19743
Afghanistan,Belarus,459
Dem. Rep. of the Congo,Central African Rep.,6498
Rwanda,Central African Rep.,251
Sudan,Central African Rep.,36479
Central African Rep.,Chad,33000
Sudan,Chad,110000
Viet Nam,China,299287
Nigeria,Cameroon,16983
Angola,Congo,2429
Central African Rep.,Congo,338
Dem. Rep. of the Congo,Congo,81004
Rwanda,Congo,5921
Angola,Dem. Rep. of the Congo,45214
Burundi,Dem. Rep. of the Congo,1052
Central African Rep.,Dem. Rep. of the Congo,207
Rwanda,Dem. Rep. of the Congo,1724
Sudan,Dem. Rep. of the Congo,10862
Somalia,Eritrea,3261
Sudan,Eritrea,624
Eritrea,Ethiopia,6754
Somalia,Ethiopia,28276
Sudan,Ethiopia,90826
Afghanistan,France,1167
Angola,France,1836
Azerbaijan,France,460
Burundi,France,223
Central African Rep.,France,309
Dem. Rep. of the Congo,France,6757
Iraq,France,1409
Liberia,France,154
Sri Lanka,France,15062
Mali,France,108
Nigeria,France,195
Rwanda,France,1410
Somalia,France,543
Viet Nam,France,9274
Sudan,France,336
Syrian Arab Rep.,France,191
Angola,Gabon,132
Rwanda,Gabon,104
Liberia,Gambia,770
Liberia,Ghana,42466
Liberia,Guinea,137455
Burundi,Cote d'Ivoire,101
Dem. Rep. of the Congo,Cote d'Ivoire,181
Liberia,Cote d'Ivoire,74180
Rwanda,Cote d'Ivoire,304
Afghanistan,India,10283
Myanmar,India,940
Iraq,Indonesia,122
Afghanistan,Iran (Islamic Rep. of),829261
Iraq,Iran (Islamic Rep. of),7882
Palestinian,Iraq,22706
Syrian Arab Rep.,Iraq,643
Iraq,Jordan,965
Myanmar,Japan,136
Viet Nam,Japan,1691
Afghanistan,Kazakhstan,657
Burundi,Kenya,404
Dem. Rep. of the Congo,Kenya,1153
Eritrea,Kenya,379
Rwanda,Kenya,2520
Somalia,Kenya,154272
Sudan,Kenya,63197
Palestinian,Kuwait,910
Iraq,Kuwait,417
Somalia,Kuwait,107
Somalia,Libya,178
Iraq,Lebanon,1476
Somalia,Lebanon,134
Sudan,Lebanon,615
Liberia,Mali,397
Myanmar,Malaysia,4152
Angola,Namibia,11814
Dem. Rep. of the Congo,Nigeria,105
