source,target,value
Nicaragua,Panama,174
El Salvador,Panama,277
Cuba,Peru,453
Serbia and Kosovo: S/RES/1244 (1999),Peru,124
Indonesia,Papua New Guinea,4941
Afghanistan,Romania,139
Iraq,Romania,122
Angola,South Africa,2586
Burundi,South Africa,1439
Congo,South Africa,235
Dem. Rep. of the Congo,South Africa,4993
Rwanda,South Africa,820
Somalia,South Africa,946
Sudan,South Africa,120
Burundi,Rwanda,1670
Dem. Rep. of the Congo,Rwanda,33064
Afghanistan,Saudi Arabia,149
Iraq,Saudi Arabia,5091
Bosnia and Herzegovina,Serbia and Kosovo: S/RES/1244 (1999),143025
Croatia,Serbia and Kosovo: S/RES/1244 (1999),244870
North Macedonia,Serbia and Kosovo: S/RES/1244 (1999),10813
Liberia,Senegal,224
Mauritania,Senegal,19783
Rwanda,Senegal,307
Sierra Leone,Senegal,190
Ethiopia,Somalia,567
Cambodia,Viet Nam,2081
Eritrea,Sudan,129880
Ethiopia,Sudan,642
Bosnia and Herzegovina,Slovenia,2381
Burundi,Eswatini,152
Dem. Rep. of the Congo,Eswatini,115
Afghanistan,Switzerland,1446
Albania,Switzerland,115
Algeria,Switzerland,217
Angola,Switzerland,1882
Burundi,Switzerland,168
Bosnia and Herzegovina,Switzerland,8043
Cambodia,Switzerland,783
China,Switzerland,135
Dem. Rep. of the Congo,Switzerland,756
Colombia,Switzerland,186
Eritrea,Switzerland,285
Ethiopia,Switzerland,335
Croatia,Switzerland,116
Iran (Islamic Rep. of),Switzerland,1079
Iraq,Switzerland,2575
Lao People's Dem. Rep.,Switzerland,238
Libya,Switzerland,362
Sri Lanka,Switzerland,9399
Pakistan,Switzerland,207
Romania,Switzerland,207
Rwanda,Switzerland,263
Serbia and Kosovo: S/RES/1244 (1999),Switzerland,12493
Somalia,Switzerland,4377
Viet Nam,Switzerland,2736
Sudan,Switzerland,185
Syrian Arab Rep.,Switzerland,157
Tunisia,Switzerland,522
Turkey,Switzerland,6171
Afghanistan,Syrian Arab Rep.,407
Iraq,Syrian Arab Rep.,1597
Somalia,Syrian Arab Rep.,397
Sudan,Syrian Arab Rep.,108
Yemen,Syrian Arab Rep.,662
Burundi,United Rep. of Tanzania,521180
Dem. Rep. of the Congo,United Rep. of Tanzania,117516
Rwanda,United Rep. of Tanzania,3034
Somalia,United Rep. of Tanzania,3424
Myanmar,Thailand,110313
Afghanistan,Tajikistan,15119
Afghanistan,Turkmenistan,1515
Tajikistan,Turkmenistan,12383
Ghana,Togo,11208
Rwanda,Togo,770
Afghanistan,Turkey,106
Iran (Islamic Rep. of),Turkey,1739
Iraq,Turkey,585
Somalia,United Arab Emirates,321
Dem. Rep. of the Congo,Uganda,7613
Kenya,Uganda,115
Rwanda,Uganda,14288
Somalia,Uganda,819
Sudan,Uganda,156766
Afghanistan,Ukraine,1587
Armenia,Ukraine,245
Azerbaijan,Ukraine,233
Congo,Ukraine,120
Georgia,Ukraine,119
Russian Federation,Ukraine,229
Afghanistan,Uzbekistan,2569
Ethiopia,Yemen,1438
Palestinian,Yemen,123
Iraq,Yemen,193
Somalia,Yemen,55712
Angola,Zambia,22547
Burundi,Zambia,575
Dem. Rep. of the Congo,Zambia,48775
Rwanda,Zambia,975
Somalia,Zambia,933
Angola,Zimbabwe,226
Burundi,Zimbabwe,852
Dem. Rep. of the Congo,Zimbabwe,4182
Ethiopia,Zimbabwe,191
Rwanda,Zimbabwe,2777
Western Sahara,Algeria,155430
Dem. Rep. of the Congo,Angola,11930
Rwanda,Angola,176
Ethiopia,Egypt,111
Palestinian,Egypt,70000
Somalia,Egypt,1639
Sudan,Egypt,7629
Yemen,Egypt,412
Stateless,Egypt,130
