,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Recognized decisions,Complementary protection,Rejected decisions,Otherwise closed,Total decisions
67287,2011,Serbia and Kosovo: S/RES/1244 (1999),SRB,Netherlands,NLD,0,0,10,0,10
41605,2011,Somalia,SOM,Serbia and Kosovo: S/RES/1244 (1999),SRB,0,0,16,321,337
41749,2011,Croatia,HRV,Sweden,SWE,0,0,19,5,24
6442,2011,Liberia,LBR,Cyprus,CYP,0,0,5,0,5
81993,2011,Rwanda,RWA,India,IND,5,0,0,0,5
40539,2011,Iran (Islamic Rep. of),IRN,Denmark,DNK,225,24,270,0,519
41362,2011,Kyrgyzstan,KGZ,Norway,NOR,0,0,49,22,71
41915,2011,Ethiopia,ETH,Zambia,ZMB,5,0,0,5,10
19048,2011,Cote d'Ivoire,CIV,Austria,AUT,0,24,33,10,67
15242,2011,Israel,ISR,United States of America,USA,15,0,11,32,58
75022,2011,Ecuador,ECU,Switzerland,CHE,0,5,0,0,5
41215,2011,Cameroon,CMR,Namibia,NAM,0,0,0,11,11
41143,2011,Somalia,SOM,Liechtenstein,LIE,0,5,0,0,5
67273,2011,Iran (Islamic Rep. of),IRN,Netherlands,NLD,22,50,44,0,116
6618,2011,Dem. Rep. of the Congo,COD,Norway,NOR,0,5,96,5,106
75229,2011,Congo,COG,Cote d'Ivoire,CIV,5,0,5,0,10
41631,2011,China,CHN,Spain,ESP,0,0,5,0,5
15192,2011,Brazil,BRA,United States of America,USA,22,0,60,118,200
82120,2011,Chad,TCD,Syrian Arab Rep.,SYR,0,0,0,11,11
1149,2011,Venezuela (Bolivarian Republic of),VEN,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,5,0,5
41827,2011,Cameroon,CMR,Switzerland,CHE,5,11,19,26,61
1142,2011,Trinidad and Tobago,TTO,United Kingdom of Great Britain and Northern Ireland,GBR,5,0,5,0,10
41608,2011,Tunisia,TUN,Serbia and Kosovo: S/RES/1244 (1999),SRB,0,0,5,69,74
40981,2011,Iran (Islamic Rep. of),IRN,Ireland,IRL,10,0,25,5,40
19006,2011,Central African Rep.,CAF,Angola,AGO,5,0,0,0,5
15225,2011,Ghana,GHA,United States of America,USA,10,0,27,31,68
19110,2011,Cameroon,CMR,Bosnia and Herzegovina,BIH,0,0,0,5,5
74691,2011,Uzbekistan,UZB,Russian Federation,RUS,23,0,0,21,44
15309,2011,Thailand,THA,United States of America,USA,0,0,13,11,24
82001,2011,Egypt,EGY,Israel,ISR,5,0,0,0,5
41389,2011,Saudi Arabia,SAU,Norway,NOR,0,0,0,5,5
1139,2011,Syrian Arab Rep.,SYR,United Kingdom of Great Britain and Northern Ireland,GBR,47,0,63,10,120
72089,2011,Russian Federation,RUS,Germany,DEU,20,17,12,153,202
41434,2011,Zimbabwe,ZWE,New Zealand,NZL,0,0,5,0,5
72098,2011,Tajikistan,TJK,Germany,DEU,0,0,0,5,5
41492,2011,Viet Nam,VNM,Poland,POL,0,5,21,10,36
81982,2011,Bangladesh,BGD,Honduras,HND,0,0,0,5,5
6585,2011,Ghana,GHA,Malta,MLT,0,0,71,0,71
1075,2011,Armenia,ARM,United Kingdom of Great Britain and Northern Ireland,GBR,13,0,0,0,13
41272,2011,Dem. People's Rep. of Korea,PRK,Netherlands,NLD,0,10,0,0,10
40146,2011,Thailand,THA,Australia,AUS,0,0,16,0,16
40894,2011,Togo,TGO,Greece,GRC,0,0,5,0,5
19276,2011,Dem. Rep. of the Congo,COD,Romania,ROU,0,5,0,5,10
78606,2011,Cameroon,CMR,Mauritania,MRT,0,0,5,11,16
41840,2011,Palestinian,PSE,Switzerland,CHE,10,12,0,53,75
41173,2011,Pakistan,PAK,Latvia,LVA,0,0,0,5,5
41805,2011,Venezuela (Bolivarian Republic of),VEN,Sweden,SWE,0,0,5,5,10
41059,2011,Lebanon,LBN,Italy,ITA,0,5,12,0,17
65284,2011,India,IND,United States of America,USA,81,0,5,402,488
15332,2012,Egypt,EGY,United States of America,USA,268,0,45,151,464
42854,2012,Morocco,MAR,Hungary,HUN,0,0,0,28,28
82302,2012,Pakistan,PAK,"China, Hong Kong SAR",HKG,5,0,36,51,92
42803,2012,Turkey,TUR,Greece,GRC,5,5,25,17,52
86455,2012,Stateless,XXA,Turkey,TUR,0,0,0,11,11
15382,2012,Guyana,GUY,United States of America,USA,5,0,18,43,66
19360,2012,Azerbaijan,AZE,Austria,AUT,10,10,71,5,96
42592,2012,Mauritius,MUS,France,FRA,0,0,5,0,5
43823,2012,India,IND,Switzerland,CHE,0,0,0,12,12
82483,2012,Yemen,YEM,Thailand,THA,5,0,0,0,5
41973,2012,Georgia,GEO,Australia,AUS,0,0,14,0,14
43856,2012,Senegal,SEN,Switzerland,CHE,0,0,13,208,221
1278,2012,Saudi Arabia,SAU,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,5,0,5
42806,2012,Uzbekistan,UZB,Greece,GRC,0,0,5,5,10
42235,2012,Indonesia,IDN,Canada,CAN,15,0,21,0,36
43803,2012,Colombia,COL,Switzerland,CHE,27,0,5,5,37
43220,2012,Turkey,TUR,Netherlands,NLD,16,15,92,0,123
43666,2012,Afghanistan,AFG,Slovenia,SVN,5,5,39,25,74
7212,2012,Jordan,JOR,Sweden,SWE,0,0,70,15,85
42962,2012,Mongolia,MNG,Italy,ITA,0,0,5,0,5
67356,2012,Sierra Leone,SLE,Netherlands,NLD,0,0,11,0,11
43540,2012,Nigeria,NGA,Serbia and Kosovo: S/RES/1244 (1999),SRB,0,0,0,5,5
82507,2012,Ghana,GHA,Turkey,TUR,0,0,0,5,5
43585,2012,Haiti,HTI,Spain,ESP,5,0,0,0,5
42253,2012,Saint Lucia,LCA,Canada,CAN,300,0,236,62,598
7060,2012,Congo,COG,Norway,NOR,0,0,5,0,5
7306,2012,Mauritania,MRT,Switzerland,CHE,0,0,0,0,5
43185,2012,Kenya,KEN,Netherlands,NLD,0,5,19,0,24
42231,2012,Croatia,HRV,Canada,CAN,23,0,246,77,346
41995,2012,Nepal,NPL,Australia,AUS,5,0,274,0,279
43276,2012,Latvia,LVA,Norway,NOR,0,0,5,0,5
43702,2012,Bosnia and Herzegovina,BIH,Sweden,SWE,0,0,1270,636,1906
43384,2012,Dem. Rep. of the Congo,COD,Poland,POL,0,0,0,14,14
42233,2012,Cote d'Ivoire,CIV,Canada,CAN,42,0,32,11,85
6917,2012,Dem. People's Rep. of Korea,PRK,France,FRA,0,0,39,0,39
42243,2012,Japan,JPN,Canada,CAN,0,0,20,5,25
15387,2012,Cote d'Ivoire,CIV,United States of America,USA,61,0,41,113,215
42274,2012,Nicaragua,NIC,Canada,CAN,15,0,19,10,44
42353,2012,Cote d'Ivoire,CIV,Cyprus,CYP,0,0,5,0,5
43301,2012,Sudan,SDN,Norway,NOR,376,0,50,39,465
41959,2012,Bahrain,BHR,Australia,AUS,0,0,11,0,11
19453,2012,Tunisia,TUN,Bulgaria,BGR,0,0,5,5,10
19444,2012,Libya,LBY,Bulgaria,BGR,0,0,0,5,5
7054,2012,Bosnia and Herzegovina,BIH,Norway,NOR,0,0,21,5,26
72130,2012,Armenia,ARM,Germany,DEU,10,0,5,67,82
19519,2012,Guinea,GIN,Rep. of Korea,KOR,0,0,0,5,5
42140,2012,Angola,AGO,Brazil,BRA,5,0,29,0,34
19572,2012,Mali,MLI,Nigeria,NGA,10,0,0,0,10
7128,2012,South Africa,ZAF,New Zealand,NZL,5,0,0,0,5
78776,2012,Iraq,IRQ,Yemen,YEM,26,0,0,75,101
7318,2012,South Africa,ZAF,Switzerland,CHE,0,0,0,0,5
15394,2012,Jamaica,JAM,United States of America,USA,13,0,110,110,233
42242,2012,Jordan,JOR,Canada,CAN,17,0,29,5,51
42661,2012,Georgia,GEO,United Kingdom of Great Britain and Northern Ireland,GBR,5,0,15,10,30
74706,2012,Turkmenistan,TKM,Russian Federation,RUS,11,0,0,0,11
69786,2012,Bosnia and Herzegovina,BIH,Germany,DEU,0,21,1742,93,1856
41939,2012,Nepal,NPL,Argentina,ARG,0,0,0,5,5
42500,2012,Sri Lanka,LKA,Finland,FIN,0,5,16,10,31
42203,2012,Colombia,COL,Canada,CAN,482,0,731,113,1326
1231,2012,Central African Rep.,CAF,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,5,0,5
1182,2012,Kuwait,KWT,Australia,AUS,5,0,0,0,5
6832,2012,Uzbekistan,UZB,Cyprus,CYP,0,0,12,5,17
76413,2012,Myanmar,MMR,India,IND,5,0,5,11,21
82411,2012,Liberia,LBR,Morocco,MAR,0,0,12,0,12
15337,2012,Bahrain,BHR,United States of America,USA,0,0,0,5,5
43101,2012,Honduras,HND,Mexico,MEX,66,22,54,70,212
43541,2012,Pakistan,PAK,Serbia and Kosovo: S/RES/1244 (1999),SRB,0,0,0,230,230
19420,2012,Yemen,YEM,Austria,AUT,5,0,0,0,5
82429,2012,Ethiopia,ETH,Somalia,SOM,119,0,76,764,959
7288,2012,Eritrea,ERI,Switzerland,CHE,0,0,0,0,558
7152,2012,Stateless,XXA,Poland,POL,0,0,5,0,5
43116,2012,Dem. Rep. of the Congo,COD,Mozambique,MOZ,405,0,0,1181,1586
42201,2012,Congo,COG,Canada,CAN,43,0,37,0,80
76485,2012,Somalia,SOM,Tunisia,TUN,0,0,11,0,11
6929,2012,Morocco,MAR,France,FRA,5,0,27,0,32
65439,2012,Mauritania,MRT,United States of America,USA,37,0,0,27,64
19475,2012,Chile,CHL,Ecuador,ECU,0,0,5,0,5
43292,2012,Poland,POL,Norway,NOR,0,0,5,0,5
43910,2012,Kyrgyzstan,KGZ,Ukraine,UKR,0,0,39,97,136
42156,2012,Iraq,IRQ,Brazil,BRA,5,0,0,0,5
43089,2012,Syrian Arab Rep.,SYR,Rep. of Moldova,MDA,12,33,0,5,50
74453,2012,Ghana,GHA,Ireland,IRL,0,0,43,0,43
19571,2012,Liberia,LBR,Nigeria,NGA,0,0,0,21,21
6933,2012,Niger,NER,France,FRA,0,0,12,0,12
1216,2012,Stateless,XXA,Australia,AUS,239,0,62,0,301
82618,2013,Sudan,SDN,India,IND,19,0,14,0,33
1410,2013,South Africa,ZAF,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,14,0,14
44392,2013,Yemen,YEM,Canada,CAN,22,0,5,0,27
45740,2013,Sierra Leone,SLE,Serbia and Kosovo: S/RES/1244 (1999),SRB,0,0,0,41,41
65579,2013,Panama,PAN,United States of America,USA,0,0,0,5,5
45943,2013,Mongolia,MNG,Sweden,SWE,0,39,322,53,414
67399,2013,Sri Lanka,LKA,Netherlands,NLD,5,14,18,0,37
45601,2013,Guinea-Bissau,GNB,Romania,ROU,0,0,5,0,5
45000,2013,Togo,TGO,Hungary,HUN,0,0,12,5,17
44095,2013,North Macedonia,MKD,Belgium,BEL,16,0,177,0,193
7470,2013,Dominican Rep.,DOM,France,FRA,0,0,76,14,90
15581,2013,Senegal,SEN,United States of America,USA,18,0,23,72,113
82819,2013,Nepal,NPL,Thailand,THA,0,0,5,5,10
82730,2013,Philippines,PHL,Malaysia,MYS,0,0,0,5,5
44660,2013,Djibouti,DJI,France,FRA,13,0,5,0,18
44896,2013,Serbia and Kosovo: S/RES/1244 (1999),SRB,Greece,GRC,0,0,5,13,18
45168,2013,Ukraine,UKR,Liechtenstein,LIE,0,0,0,5,5
82742,2013,Dem. Rep. of the Congo,COD,Morocco,MAR,12,0,140,22,174
72243,2013,Pakistan,PAK,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,22,27,49
44144,2013,Afghanistan,AFG,Belarus,BLR,5,0,49,15,69
45998,2013,Cambodia,KHM,Switzerland,CHE,0,0,5,0,5
82617,2013,Somalia,SOM,India,IND,38,0,0,26,64
45548,2013,Morocco,MAR,Poland,POL,0,0,0,5,5
44380,2013,Tajikistan,TJK,Canada,CAN,5,0,0,5,10
45129,2013,Syrian Arab Rep.,SYR,Italy,ITA,246,149,383,0,778
7437,2013,Turkey,TUR,Denmark,DNK,0,0,11,0,11
45810,2013,Romania,ROU,Spain,ESP,0,0,5,0,5
45860,2013,Turkey,TUR,Slovakia,SVK,0,0,5,5,10
43958,2013,Ghana,GHA,Argentina,ARG,15,0,10,0,25
44311,2013,Iran (Islamic Rep. of),IRN,Canada,CAN,227,0,60,15,302
19642,2013,Dem. Rep. of the Congo,COD,Austria,AUT,26,5,14,0,45
7716,2013,Russian Federation,RUS,Norway,NOR,64,69,444,75,652
82601,2013,United Rep. of Tanzania,TZA,"China, Hong Kong SAR",HKG,0,0,0,5,5
82649,2013,Afghanistan,AFG,Kenya,KEN,5,0,0,0,5
44224,2013,Myanmar,MMR,Bulgaria,BGR,0,0,5,0,5
72211,2013,Mongolia,MNG,Belgium,BEL,0,0,0,5,5
45622,2013,Sudan,SDN,Romania,ROU,0,11,0,0,11
19818,2013,Nigeria,NGA,Montenegro,MNE,0,0,0,113,113
7388,2013,Nepal,NPL,Cyprus,CYP,0,0,5,0,5
69942,2013,Syrian Arab Rep.,SYR,Germany,DEU,2726,5464,10,368,8568
44753,2013,Greece,GRC,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,5,0,5
45456,2013,Tajikistan,TJK,Norway,NOR,0,0,15,0,15
19756,2013,China,CHN,Rep. of Korea,KOR,0,5,0,0,5
69946,2013,Turkmenistan,TKM,Germany,DEU,0,0,15,0,15
19806,2013,Comoros,COM,Montenegro,MNE,0,0,0,5,5
44982,2013,Rep. of Moldova,MDA,Hungary,HUN,0,0,0,5,5
82707,2013,Senegal,SEN,Mauritania,MRT,0,0,0,5,5
45492,2013,Tuvalu,TUV,New Zealand,NZL,0,0,5,0,5
78785,2013,Cote d'Ivoire,CIV,Egypt,EGY,17,0,0,0,17
72293,2013,Sierra Leone,SLE,Germany,DEU,0,0,0,13,13
7652,2013,Egypt,EGY,Norway,NOR,0,0,34,0,34
45901,2013,Congo,COG,Sweden,SWE,5,0,5,5,15
72192,2013,Bosnia and Herzegovina,BIH,Belgium,BEL,0,0,0,12,12
45941,2013,Mali,MLI,Sweden,SWE,5,0,19,5,29
1363,2013,Azerbaijan,AZE,United Kingdom of Great Britain and Northern Ireland,GBR,5,0,0,0,5
45364,2013,Ghana,GHA,Nicaragua,NIC,5,0,0,0,5
7449,2013,Azerbaijan,AZE,France,FRA,60,0,338,10,408
45986,2013,Angola,AGO,Switzerland,CHE,0,38,5,15,58
82723,2013,Liberia,LBR,Malaysia,MYS,5,0,0,0,5
45856,2013,Somalia,SOM,Slovakia,SVK,5,5,56,53,119
44387,2013,Uruguay,URY,Canada,CAN,0,0,14,5,19
7635,2013,Guinea,GIN,Malta,MLT,0,0,5,0,5
19698,2013,Uzbekistan,UZB,Austria,AUT,5,5,23,0,33
45241,2013,Colombia,COL,Mexico,MEX,10,0,0,0,10
82738,2013,Burkina Faso,BFA,Morocco,MAR,0,0,0,5,5
7443,2013,Afghanistan,AFG,France,FRA,38,152,78,10,278
44576,2013,Bosnia and Herzegovina,BIH,Finland,FIN,0,0,14,5,19
19731,2013,India,IND,Ecuador,ECU,0,0,5,0,5
45658,2013,Sri Lanka,LKA,South Africa,ZAF,0,0,15,0,15
75241,2013,Togo,TGO,Liberia,LBR,5,0,5,0,10
46080,2013,Yemen,YEM,Switzerland,CHE,10,0,13,19,42
44940,2013,Pakistan,PAK,Croatia,HRV,0,0,5,39,44
7834,2013,Mauritania,MRT,Sweden,SWE,0,0,5,0,5
69931,2013,Romania,ROU,Germany,DEU,0,0,27,5,32
78779,2013,Chad,TCD,Egypt,EGY,11,0,0,0,11
44585,2013,Ethiopia,ETH,Finland,FIN,15,5,13,5,38
82590,2013,Liberia,LBR,"China, Hong Kong SAR",HKG,0,0,0,5,5
82843,2013,Eritrea,ERI,Turkey,TUR,5,0,5,11,21
45176,2013,Viet Nam,VNM,Lithuania,LTU,0,0,20,5,25
19743,2013,Azerbaijan,AZE,Georgia,GEO,0,0,0,5,5
45680,2013,Zimbabwe,ZWE,South Africa,ZAF,12,0,14676,0,14688
15564,2013,Nicaragua,NIC,United States of America,USA,13,0,83,101,197
46071,2013,United Rep. of Tanzania,TZA,Switzerland,CHE,0,0,0,5,5
45132,2013,Togo,TGO,Italy,ITA,10,60,44,0,114
44074,2013,Guinea-Bissau,GNB,Belgium,BEL,0,0,12,0,12
1502,2014,Brazil,BRA,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,5,0,5
15629,2014,Cuba,CUB,United States of America,USA,10,12,42,58,122
8080,2014,Armenia,ARM,Denmark,DNK,0,10,48,0,58
15665,2014,Lebanon,LBN,United States of America,USA,0,0,5,16,21
46944,2014,Bosnia and Herzegovina,BIH,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,12,10,22
74520,2014,Cabo Verde,CPV,Ireland,IRL,0,0,5,0,5
48061,2014,India,IND,Spain,ESP,0,0,5,0,5
47487,2014,Turkey,TUR,Luxembourg,LUX,0,0,25,5,30
46347,2014,Syrian Arab Rep.,SYR,Belgium,BEL,1261,444,30,37,1772
47944,2014,Syrian Arab Rep.,SYR,South Africa,ZAF,14,0,0,0,14
46149,2014,Congo,COG,Angola,AGO,0,0,0,17,17
65727,2014,Venezuela (Bolivarian Republic of),VEN,United States of America,USA,226,0,36,125,387
47597,2014,Libya,LBY,Netherlands,NLD,5,13,143,0,161
8027,2014,South Africa,ZAF,Canada,CAN,0,0,5,0,5
8068,2014,Nigeria,NGA,Cyprus,CYP,0,0,10,0,10
70002,2014,Iraq,IRQ,Germany,DEU,2601,146,411,684,3842
19913,2014,Syrian Arab Rep.,SYR,North Macedonia,MKD,11,0,0,314,325
8029,2014,Rwanda,RWA,Canada,CAN,0,0,5,0,5
82997,2014,Bangladesh,BGD,"China, Hong Kong SAR",HKG,0,0,0,5,5
48033,2014,Armenia,ARM,Spain,ESP,5,0,16,0,21
48200,2014,Libya,LBY,Sweden,SWE,22,14,37,345,418
46918,2014,Turkey,TUR,France,FRA,171,12,1739,0,1922
47671,2014,Belarus,BLR,Norway,NOR,0,0,26,28,54
46298,2014,Palestinian,PSE,Belgium,BEL,10,5,0,5,20
83206,2014,Myanmar,MMR,Pakistan,PAK,10,0,0,0,10
67511,2014,Pakistan,PAK,Romania,ROU,5,0,22,0,27
1481,2014,Viet Nam,VNM,Australia,AUS,5,0,33,0,38
47143,2014,Uzbekistan,UZB,Greece,GRC,0,0,5,5,10
70055,2014,Uganda,UGA,Germany,DEU,0,0,5,14,19
76650,2014,Cote d'Ivoire,CIV,Cameroon,CMR,0,0,5,0,5
8034,2014,Viet Nam,VNM,Canada,CAN,0,0,5,0,5
46945,2014,Canada,CAN,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,5,5,10
47820,2014,Mongolia,MNG,Poland,POL,0,0,0,10,10
47478,2014,Nigeria,NGA,Luxembourg,LUX,0,0,23,52,75
47964,2014,Kyrgyzstan,KGZ,Russian Federation,RUS,0,0,23,0,23
47080,2014,Algeria,DZA,Greece,GRC,5,0,136,98,239
69980,2014,Colombia,COL,Germany,DEU,0,0,5,14,19
48308,2014,Kyrgyzstan,KGZ,Switzerland,CHE,5,0,13,0,18
48380,2014,Sri Lanka,LKA,Ukraine,UKR,0,0,0,13,13
48245,2014,Togo,TGO,Sweden,SWE,0,0,5,0,5
47697,2014,Kazakhstan,KAZ,Norway,NOR,0,0,5,11,16
15685,2014,Poland,POL,United States of America,USA,0,0,0,10,10
72416,2014,Kazakhstan,KAZ,Germany,DEU,0,0,0,10,10
46297,2014,Gambia,GMB,Belgium,BEL,12,0,40,19,71
8148,2014,Dominican Rep.,DOM,France,FRA,0,0,74,62,136
72403,2014,Gambia,GMB,Germany,DEU,5,0,0,18,23
48076,2014,Philippines,PHL,Spain,ESP,0,0,5,0,5
82901,2014,Iraq,IRQ,Algeria,DZA,5,0,0,0,5
83326,2014,Sudan,SDN,Turkey,TUR,43,0,10,45,98
47426,2014,Uzbekistan,UZB,Kyrgyzstan,KGZ,0,0,0,93,93
76640,2014,Sudan,SDN,Egypt,EGY,31,0,118,0,149
48012,2014,Nigeria,NGA,Serbia and Kosovo: S/RES/1244 (1999),SRB,0,0,0,216,216
47989,2014,Central African Rep.,CAF,Serbia and Kosovo: S/RES/1244 (1999),SRB,0,0,0,10,10
19902,2014,Palestinian,PSE,North Macedonia,MKD,0,0,0,15,15
46829,2014,Albania,ALB,France,FRA,67,277,3479,0,3823
72434,2014,Russian Federation,RUS,Germany,DEU,10,65,44,891,1010
46617,2014,Zimbabwe,ZWE,Canada,CAN,56,0,23,0,79
8141,2014,Cameroon,CMR,France,FRA,30,5,94,18,147
67525,2014,Sri Lanka,LKA,Ukraine,UKR,0,0,5,0,5
83112,2014,Eritrea,ERI,Lebanon,LBN,10,0,15,5,30
47704,2014,Mauritania,MRT,Norway,NOR,0,0,0,5,5
83027,2014,Afghanistan,AFG,Indonesia,IDN,1023,0,174,1138,2335
8207,2014,Turkey,TUR,France,FRA,150,10,1124,192,1476
66839,2014,Uganda,UGA,Belgium,BEL,0,0,15,0,15
15659,2014,Kenya,KEN,United States of America,USA,35,21,43,121,220
46579,2014,Peru,PER,Canada,CAN,18,0,46,5,69
46348,2014,United Rep. of Tanzania,TZA,Belgium,BEL,5,0,21,19,45
8569,2014,Poland,POL,Sweden,SWE,0,0,5,0,5
8253,2014,Myanmar,MMR,Greece,GRC,0,0,0,12,12
48254,2014,Yemen,YEM,Sweden,SWE,20,15,37,54,126
46952,2014,Dem. Rep. of the Congo,COD,United Kingdom of Great Britain and Northern Ireland,GBR,64,17,140,30,251
47004,2014,Myanmar,MMR,United Kingdom of Great Britain and Northern Ireland,GBR,41,5,45,0,91
1518,2014,India,IND,United Kingdom of Great Britain and Northern Ireland,GBR,15,0,75,5,95
22592,2014,Pakistan,PAK,New Zealand,NZL,5,0,18,0,23
70028,2014,Nepal,NPL,Germany,DEU,0,0,11,5,16
8033,2014,Somalia,SOM,Canada,CAN,0,0,34,0,34
8382,2014,Germany,DEU,Norway,NOR,0,0,5,0,5
66829,2014,Serbia and Kosovo: S/RES/1244 (1999),SRB,Belgium,BEL,5,0,66,5,76
8287,2014,Guinea,GIN,Ireland,IRL,5,0,0,0,5
47377,2014,Uganda,UGA,Italy,ITA,5,0,0,0,5
8377,2014,Eritrea,ERI,Norway,NOR,28,0,785,10,823
47141,2014,Uganda,UGA,Greece,GRC,5,0,0,5,10
65717,2014,Tajikistan,TJK,United States of America,USA,13,0,5,13,31
8480,2014,Mali,MLI,South Africa,ZAF,0,0,5,0,5
46706,2014,Stateless,XXA,Czechia,CZE,5,18,5,5,33
50159,2015,Turkey,TUR,South Africa,ZAF,5,0,0,0,5
67664,2015,Russian Federation,RUS,Romania,ROU,0,5,0,0,5
74563,2015,Egypt,EGY,Ireland,IRL,0,0,10,0,10
49733,2015,India,IND,Mexico,MEX,0,0,5,15,20
8894,2015,Tunisia,TUN,Greece,GRC,0,0,24,0,24
20162,2015,Mongolia,MNG,Rep. of Korea,KOR,0,0,5,0,5
83772,2015,Uzbekistan,UZB,Ukraine,UKR,0,0,0,5,5
48447,2015,Senegal,SEN,Argentina,ARG,0,0,280,16,296
8859,2015,Bangladesh,BGD,Greece,GRC,13,0,288,5,306
49880,2015,Cote d'Ivoire,CIV,Nigeria,NGA,5,0,13,35,53
72614,2015,Egypt,EGY,Netherlands,NLD,0,0,26,0,26
50481,2015,Sudan,SDN,Switzerland,CHE,11,10,140,22,183
83624,2015,Palestinian,PSE,Pakistan,PAK,12,0,0,0,12
67624,2015,Turkey,TUR,Germany,DEU,26,10,166,236,438
67633,2015,Bosnia and Herzegovina,BIH,Croatia,HRV,0,0,5,0,5
49241,2015,Germany,DEU,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,5,5
83569,2015,Congo,COG,Malaysia,MYS,0,0,0,5,5
49359,2015,Algeria,DZA,Greece,GRC,0,0,123,47,170
50277,2015,Cuba,CUB,Slovakia,SVK,5,0,0,0,5
65770,2015,Gambia,GMB,United States of America,USA,83,0,0,64,147
48533,2015,United States of America,USA,Australia,AUS,5,0,0,5,10
72566,2015,Gambia,GMB,Germany,DEU,0,0,0,15,15
48667,2015,Dem. Rep. of the Congo,COD,Brazil,BRA,254,0,14,0,268
83436,2015,Dem. Rep. of the Congo,COD,Cameroon,CMR,35,0,154,89,278
48597,2015,Sri Lanka,LKA,Belgium,BEL,100,0,15,0,115
1694,2015,Venezuela (Bolivarian Republic of),VEN,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,10,0,10
83520,2015,Stateless,XXA,Jordan,JOR,0,0,0,13,13
49505,2015,Ukraine,UKR,Ireland,IRL,0,0,25,13,38
9122,2015,Djibouti,DJI,Sweden,SWE,0,0,19,0,19
49596,2015,Zimbabwe,ZWE,Italy,ITA,0,5,0,0,5
67622,2015,Togo,TGO,Germany,DEU,0,0,10,41,51
83727,2015,Cote d'Ivoire,CIV,Turkey,TUR,0,0,5,29,34
83598,2015,Dem. Rep. of the Congo,COD,Morocco,MAR,26,0,209,241,476
8951,2015,Ethiopia,ETH,Luxembourg,LUX,5,0,0,0,5
49352,2015,Pakistan,PAK,Ghana,GHA,12,0,0,0,12
8860,2015,Burkina Faso,BFA,Greece,GRC,0,0,5,0,5
49233,2015,Czechia,CZE,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,5,0,5
83746,2015,Russian Federation,RUS,Turkey,TUR,0,0,0,5,5
48459,2015,Albania,ALB,Australia,AUS,5,0,0,0,5
65738,2015,Azerbaijan,AZE,United States of America,USA,10,0,0,14,24
83449,2015,Sudan,SDN,Cameroon,CMR,83,0,5,60,148
8631,2015,Gambia,GMB,Canada,CAN,0,0,5,0,5
50466,2015,Netherlands,NLD,Switzerland,CHE,0,0,0,5,5
72594,2015,Serbia and Kosovo: S/RES/1244 (1999),SRB,Germany,DEU,0,17,2620,8253,10890
72629,2015,Cote d'Ivoire,CIV,Netherlands,NLD,5,0,5,0,10
48824,2015,Nigeria,NGA,Canada,CAN,392,0,238,12,642
67655,2015,Palestinian,PSE,Romania,ROU,0,5,0,0,5
49712,2015,Afghanistan,AFG,Rep. of Moldova,MDA,5,0,0,11,16
8760,2015,Ukraine,UKR,Denmark,DNK,0,5,30,0,35
20224,2015,Croatia,HRV,Montenegro,MNE,0,0,0,5,5
48931,2015,Philippines,PHL,Cyprus,CYP,0,0,44,5,49
67561,2015,China,CHN,Germany,DEU,10,0,18,21,49
72726,2015,Nigeria,NGA,Sweden,SWE,0,5,0,15,20
1693,2015,Saint Vincent and the Grenadines,VCT,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,5,0,5
75056,2015,Ethiopia,ETH,Kenya,KEN,114,0,10,139,263
20206,2015,Nigeria,NGA,North Macedonia,MKD,0,0,0,30,30
8639,2015,Haiti,HTI,Canada,CAN,36,0,79,5,120
70096,2015,Georgia,GEO,Germany,DEU,0,5,1371,641,2017
49125,2015,Cameroon,CMR,France,FRA,31,10,156,0,197
74597,2015,Nepal,NPL,Ireland,IRL,0,0,10,5,15
20242,2015,Dem. Rep. of the Congo,COD,Uganda,UGA,15079,0,1191,0,16270
65829,2015,Saudi Arabia,SAU,United States of America,USA,32,0,0,5,37
15825,2015,Venezuela (Bolivarian Republic of),VEN,United States of America,USA,22,0,34,122,178
1582,2015,Ghana,GHA,Australia,AUS,0,0,5,5,10
1606,2015,Russian Federation,RUS,Australia,AUS,0,0,5,0,5
70154,2015,Ukraine,UKR,Germany,DEU,51,0,42,874,967
67576,2015,Guinea,GIN,Germany,DEU,5,0,32,223,260
49482,2015,Palestinian,PSE,Ireland,IRL,5,0,5,0,10
83658,2015,Iraq,IRQ,Syrian Arab Rep.,SYR,987,0,10,193,1190
49820,2015,Indonesia,IDN,Netherlands,NLD,0,0,5,0,5
