,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Recognized decisions,Complementary protection,Rejected decisions,Otherwise closed,Total decisions
35956,2008,Turkey,TUR,Slovakia,SVK,0,0,5,0,5
14828,2008,Malawi,MWI,United States of America,USA,0,0,0,5,5
5545,2008,Turkmenistan,TKM,Norway,NOR,0,0,5,0,5
35613,2008,Niger,NER,Netherlands,NLD,0,0,5,0,5
64939,2008,Sweden,SWE,United States of America,USA,0,0,0,5,5
36062,2008,Yemen,YEM,Sweden,SWE,12,0,63,14,89
5658,2008,Togo,TGO,Sweden,SWE,0,0,11,0,11
5555,2008,China,CHN,New Zealand,NZL,14,0,0,0,14
64850,2008,Canada,CAN,United States of America,USA,0,0,0,5,5
35795,2008,Tunisia,TUN,Poland,POL,0,0,0,5,5
35857,2008,Sudan,SDN,Senegal,SEN,0,0,5,0,5
35868,2008,Burkina Faso,BFA,Spain,ESP,0,0,0,10,10
856,2008,Viet Nam,VNM,United Kingdom of Great Britain and Northern Ireland,GBR,5,0,15,0,20
34953,2008,Belarus,BLR,Estonia,EST,5,0,0,0,5
35241,2008,Cuba,CUB,Honduras,HND,0,0,0,17,17
16503,2008,Cote d'Ivoire,CIV,Liberia,LBR,37,0,0,12,49
34647,2008,Burundi,BDI,Brazil,BRA,0,0,5,0,5
34499,2008,Nepal,NPL,Australia,AUS,10,0,31,0,41
18454,2009,Azerbaijan,AZE,Austria,AUT,25,5,92,31,153
18625,2009,Bangladesh,BGD,Rep. of Korea,KOR,21,0,24,10,55
81516,2009,Tunisia,TUN,Syrian Arab Rep.,SYR,5,0,0,0,5
5973,2009,Israel,ISR,New Zealand,NZL,0,0,5,0,5
5778,2009,Morocco,MAR,Denmark,DNK,0,0,5,0,5
81357,2009,Iran (Islamic Rep. of),IRN,Israel,ISR,0,0,0,11,11
36539,2009,Botswana,BWA,Canada,CAN,19,0,10,18,47
76147,2009,Ethiopia,ETH,Turkey,TUR,0,0,0,5,5
37204,2009,Zimbabwe,ZWE,Ireland,IRL,5,0,104,10,119
76112,2009,Angola,AGO,Morocco,MAR,0,0,5,0,5
5758,2009,Philippines,PHL,Czechia,CZE,0,0,0,31,31
37200,2009,Togo,TGO,Ireland,IRL,0,0,14,0,14
38101,2009,Tunisia,TUN,Switzerland,CHE,27,5,10,101,143
37919,2009,Algeria,DZA,Sweden,SWE,5,0,83,49,137
37799,2009,Egypt,EGY,Spain,ESP,0,0,14,0,14
69559,2009,Mali,MLI,Germany,DEU,0,0,5,0,5
69575,2009,Somalia,SOM,Germany,DEU,121,41,12,29,203
18644,2009,Uzbekistan,UZB,Rep. of Korea,KOR,5,0,0,0,5
65034,2009,Saint Lucia,LCA,United States of America,USA,0,0,0,5,5
37778,2009,Iran (Islamic Rep. of),IRN,Serbia and Kosovo: S/RES/1244 (1999),SRB,0,0,0,13,13
36591,2009,Kenya,KEN,Canada,CAN,46,0,5,5,56
37282,2009,El Salvador,SLV,Italy,ITA,0,10,12,5,27
37675,2009,Nepal,NPL,Poland,POL,0,0,0,5,5
36694,2009,Indonesia,IDN,Cyprus,CYP,0,0,0,11,11
5897,2009,Bhutan,BTN,Norway,NOR,0,0,24,0,24
14901,2009,Costa Rica,CRI,United States of America,USA,0,0,5,13,18
69518,2009,Belarus,BLR,Germany,DEU,0,0,27,13,40
36613,2009,Namibia,NAM,Canada,CAN,5,0,5,0,10
64993,2009,Djibouti,DJI,United States of America,USA,5,0,0,11,16
78429,2009,Palestinian,PSE,Malaysia,MYS,53,0,0,15,68
76119,2009,Liberia,LBR,Morocco,MAR,0,0,10,0,10
5707,2009,Venezuela (Bolivarian Republic of),VEN,Colombia,COL,0,0,5,0,5
38068,2009,Lebanon,LBN,Switzerland,CHE,0,15,5,22,42
81382,2009,Turkey,TUR,Israel,ISR,0,0,0,233,233
38072,2009,Mauritania,MRT,Switzerland,CHE,0,0,5,38,43
5717,2009,Cote d'Ivoire,CIV,Cyprus,CYP,0,0,0,5,5
36530,2009,Burundi,BDI,Canada,CAN,211,0,52,5,268
36375,2009,Cyprus,CYP,Belgium,BEL,0,0,0,5,5
36486,2009,Sierra Leone,SLE,Brazil,BRA,0,0,5,0,5
37854,2009,Pakistan,PAK,Spain,ESP,10,0,52,0,62
36924,2009,Afghanistan,AFG,United Kingdom of Great Britain and Northern Ireland,GBR,220,1227,1388,1144,3979
18591,2009,Libya,LBY,Hungary,HUN,0,0,5,0,5
37545,2009,Colombia,COL,Norway,NOR,0,0,0,11,11
37252,2009,Georgia,GEO,Italy,ITA,5,30,44,5,84
37700,2009,Algeria,DZA,South Africa,ZAF,5,0,48,0,53
37053,2009,Sierra Leone,SLE,Guinea-Bissau,GNB,5,0,27,0,32
81281,2009,Iran (Islamic Rep. of),IRN,Azerbaijan,AZE,5,0,0,0,5
5964,2009,Egypt,EGY,New Zealand,NZL,0,0,5,0,5
37579,2009,Morocco,MAR,Norway,NOR,0,0,21,29,50
18706,2009,Central African Rep.,CAF,Sudan,SDN,16,0,0,0,16
37831,2009,Guinea,GIN,Spain,ESP,0,0,83,0,83
38118,2009,Rwanda,RWA,Togo,TGO,0,0,0,44,44
36771,2009,Croatia,HRV,Denmark,DNK,0,0,5,0,5
18577,2009,Dem. Rep. of the Congo,COD,Hungary,HUN,5,0,0,0,5
37409,2009,Bangladesh,BGD,Malta,MLT,0,0,19,0,19
38145,2009,Colombia,COL,Uruguay,URY,15,0,0,10,25
37974,2009,Mauritania,MRT,Sweden,SWE,0,0,5,0,5
37448,2009,Bangladesh,BGD,Netherlands,NLD,0,0,14,0,14
37559,2009,India,IND,Norway,NOR,0,0,37,20,57
36366,2009,Bulgaria,BGR,Belgium,BEL,0,0,85,5,90
5846,2009,Myanmar,MMR,Ireland,IRL,0,0,13,0,13
36552,2009,Costa Rica,CRI,Canada,CAN,0,0,14,5,19
78422,2009,Pakistan,PAK,Sri Lanka,LKA,59,0,40,93,192
37387,2009,Peru,PER,Mexico,MEX,0,0,5,5,10
37407,2009,Uganda,UGA,Mozambique,MOZ,0,0,0,10,10
81551,2009,Guinea,GIN,Turkey,TUR,0,0,11,10,21
36499,2009,Ghana,GHA,Bulgaria,BGR,0,0,5,0,5
37493,2009,Nigeria,NGA,Netherlands,NLD,0,20,123,0,143
5899,2009,Belarus,BLR,Norway,NOR,0,0,12,0,12
5785,2009,Tunisia,TUN,Denmark,DNK,0,0,5,0,5
37177,2009,Israel,ISR,Ireland,IRL,0,0,12,0,12
65072,2009,Suriname,SUR,United States of America,USA,0,0,0,5,5
6014,2009,Ethiopia,ETH,Sweden,SWE,5,5,112,17,139
5744,2009,Belarus,BLR,Czechia,CZE,10,0,46,12,68
38130,2009,Guinea,GIN,Ukraine,UKR,0,0,10,5,15
65037,2009,Lithuania,LTU,United States of America,USA,5,0,0,0,5
6042,2009,Nicaragua,NIC,Sweden,SWE,0,0,26,5,31
71862,2009,Rwanda,RWA,Germany,DEU,0,0,0,5,5
5714,2009,Palestinian,PSE,Cyprus,CYP,5,5,10,5,25
76116,2009,Guinea,GIN,Morocco,MAR,0,0,5,0,5
78438,2009,Myanmar,MMR,Malaysia,MYS,33802,0,411,2084,36297
18448,2009,Afghanistan,AFG,Austria,AUT,587,535,585,267,1974
5759,2009,Russian Federation,RUS,Czechia,CZE,14,0,29,5,48
37227,2009,Angola,AGO,Italy,ITA,0,12,0,0,12
36387,2009,Guinea,GIN,Belgium,BEL,261,5,362,15,643
39742,2010,Morocco,MAR,Spain,ESP,0,5,49,5,59
76236,2010,Pakistan,PAK,Malaysia,MYS,0,0,10,0,10
39619,2010,Mali,MLI,South Africa,ZAF,0,0,34,0,34
