,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Female 0 - 4,Female 5 - 11,Female 12 - 17,Female 18 - 59,Female 60,Female other,Female total,Male 0 - 4,Male 5 - 11,Male 12 - 17,Male 18 - 59,Male 60,Male other,Male total
11382,2005,Bosnia and Herzegovina,BIH,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12725,2005,Zimbabwe,ZWE,Hungary,HUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13959,2005,Uganda,UGA,Switzerland,CHE,0,0,0,0,0,15,15,0,0,0,0,0,20,20
13301,2005,Guinea-Bissau,GNB,Nigeria,NGA,0,0,0,0,0,0,0,0,6,0,0,0,0,6
13688,2005,Gambia,GMB,Spain,ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12380,2005,Congo,COG,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12680,2005,Armenia,ARM,Hungary,HUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12050,2005,Guinea,GIN,Czechia,CZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12758,2005,Afghanistan,AFG,India,IND,162,739,633,3416,315,0,5265,186,825,708,2416,300,0,4435
12548,2005,Nigeria,NGA,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14185,2005,Dem. People's Rep. of Korea,PRK,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12374,2005,Bolivia (Plurinational State of),BOL,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11392,2005,Djibouti,DJI,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12884,2005,Bangladesh,BGD,Italy,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12897,2005,Ethiopia,ETH,Italy,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13514,2005,Lebanon,LBN,Poland,POL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13883,2005,Bangladesh,BGD,Switzerland,CHE,0,0,0,7,0,0,7,0,8,0,9,0,5,22
14080,2005,Ethiopia,ETH,Ukraine,UKR,0,0,0,5,0,0,5,0,0,0,29,0,0,29
11688,2005,Bosnia and Herzegovina,BIH,Brazil,BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12091,2005,Cameroon,CMR,Denmark,DNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11734,2005,Armenia,ARM,Bulgaria,BGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12636,2005,Serbia and Kosovo: S/RES/1244 (1999),SRB,Greece,GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12111,2005,Kuwait,KWT,Denmark,DNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11394,2005,Eritrea,ERI,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11983,2005,Angola,AGO,Colombia,COL,0,0,5,0,0,0,5,0,0,0,0,0,0,0
13833,2005,North Macedonia,MKD,Sweden,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13443,2005,Stateless,XXA,New Zealand,NZL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11534,2005,Rwanda,RWA,Burundi,BDI,0,0,0,0,0,0,0,0,0,0,9,0,0,9
13665,2005,Yemen,YEM,Somalia,SOM,5,0,0,0,0,0,5,0,0,0,0,0,0,0
12196,2005,Dem. Rep. of the Congo,COD,Finland,FIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13906,2005,Georgia,GEO,Switzerland,CHE,0,0,6,19,0,5,30,0,7,6,22,0,5,40
12981,2005,Bangladesh,BGD,Rep. of Korea,KOR,0,0,0,0,0,0,0,0,0,0,12,0,0,12
11831,2005,Israel,ISR,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13719,2005,Syrian Arab Rep.,SYR,Spain,ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13600,2005,Senegal,SEN,South Africa,ZAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12614,2005,Chad,TCD,Greece,GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12905,2005,Cote d'Ivoire,CIV,Italy,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13484,2005,Indonesia,IDN,Philippines,PHL,0,0,5,0,0,0,5,0,0,0,0,0,0,0
12914,2005,Sri Lanka,LKA,Italy,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13459,2005,Haiti,HTI,Panama,PAN,0,0,0,0,0,0,0,0,0,0,7,0,0,7
12032,2005,Sierra Leone,SLE,Cyprus,CYP,0,0,0,0,0,6,6,0,0,0,0,0,8,8
13387,2005,Ukraine,UKR,Norway,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12206,2005,India,IND,Finland,FIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11816,2005,Greece,GRC,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12932,2005,Tajikistan,TJK,Italy,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13764,2005,Rwanda,RWA,Eswatini,SWZ,8,6,6,25,0,0,45,5,8,12,28,0,0,53
12324,2005,El Salvador,SLV,France,FRA,0,0,0,0,0,5,5,0,0,0,0,0,10,10
12435,2005,Syrian Arab Rep.,SYR,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12425,2005,Romania,ROU,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12245,2005,Algeria,DZA,France,FRA,0,0,0,0,0,359,359,0,0,0,0,0,685,685
12912,2005,Liberia,LBR,Italy,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14031,2005,Palestinian,PSE,Tunisia,TUN,0,0,0,5,0,0,5,0,0,0,10,0,0,10
14183,2005,Kyrgyzstan,KGZ,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13921,2005,Liberia,LBR,Switzerland,CHE,0,0,0,5,0,6,11,0,0,0,10,0,6,16
11436,2005,Romania,ROU,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13994,2005,Cote d'Ivoire,CIV,Thailand,THA,0,0,0,0,0,0,0,0,0,0,13,0,0,13
12953,2005,Iran (Islamic Rep. of),IRN,Japan,JPN,0,0,0,0,0,14,14,0,0,0,0,0,23,23
12485,2005,Colombia,COL,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13579,2005,Afghanistan,AFG,South Africa,ZAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14223,2005,Saudi Arabia,SAU,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11306,2005,Sudan,SDN,Angola,AGO,0,0,0,0,0,0,0,0,7,0,29,0,0,36
13571,2005,Serbia and Kosovo: S/RES/1244 (1999),SRB,Romania,ROU,0,0,8,0,0,0,8,0,0,0,0,0,0,0
13616,2005,Viet Nam,VNM,Russian Federation,RUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11370,2005,Iraq,IRQ,Armenia,ARM,0,12,11,61,21,0,105,5,12,10,77,9,0,113
12765,2005,Sri Lanka,LKA,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13572,2005,Senegal,SEN,Romania,ROU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11818,2005,Guatemala,GTM,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12755,2005,Sudan,SDN,Cote d'Ivoire,CIV,0,0,0,0,0,0,0,0,5,0,6,0,0,11
12753,2005,Sierra Leone,SLE,Cote d'Ivoire,CIV,9,38,33,124,5,0,209,0,22,20,83,5,0,130
13470,2005,Viet Nam,VNM,Paraguay,PRY,0,0,6,0,0,0,6,0,0,0,0,0,0,0
12222,2005,Nepal,NPL,Finland,FIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13378,2005,Syrian Arab Rep.,SYR,Norway,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13475,2005,Czechia,CZE,Peru,PER,0,0,0,0,0,0,0,0,0,0,0,5,0,5
13045,2005,Liberia,LBR,Mauritania,MRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11364,2005,Sierra Leone,SLE,Argentina,ARG,0,0,0,9,0,0,9,5,0,0,59,0,0,64
14014,2005,Russian Federation,RUS,Turkmenistan,TKM,0,0,0,8,0,0,8,0,0,0,0,0,0,0
12384,2005,Cyprus,CYP,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13327,2005,Chad,TCD,Norway,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12652,2005,Dem. Rep. of the Congo,COD,Guinea,GIN,0,0,0,7,0,0,7,0,7,0,0,0,0,7
12183,2005,Egypt,EGY,Finland,FIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12623,2005,India,IND,Greece,GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11385,2005,China,CHN,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14707,2006,Dem. Rep. of the Congo,COD,Brazil,BRA,0,0,0,0,0,66,66,0,0,0,0,0,202,202
15378,2006,Congo,COG,Gabon,GAB,465,632,503,1800,62,0,3462,430,626,452,2162,46,0,3716
16259,2006,Somalia,SOM,Nepal,NPL,5,0,5,6,0,0,16,5,0,14,17,0,0,36
15615,2006,Rwanda,RWA,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16896,2006,Croatia,HRV,Sweden,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17330,2006,Serbia and Kosovo: S/RES/1244 (1999),SRB,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14440,2006,Malaysia,MYS,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16779,2006,Ghana,GHA,Spain,ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15944,2006,Burundi,BDI,Italy,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15967,2006,Croatia,HRV,Italy,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16032,2006,Burundi,BDI,Kenya,KEN,84,79,46,405,0,0,614,15,65,63,438,0,0,581
17365,2006,Colombia,COL,Venezuela (Bolivarian Republic of),VEN,24,52,61,170,6,0,313,31,58,57,187,14,0,347
15160,2006,Somalia,SOM,Denmark,DNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16616,2006,Turkey,TUR,Poland,POL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15693,2006,Lebanon,LBN,Greece,GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15111,2006,Bangladesh,BGD,Denmark,DNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16503,2006,Iraq,IRQ,New Zealand,NZL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15023,2006,Venezuela (Bolivarian Republic of),VEN,Colombia,COL,0,7,0,0,0,0,7,0,0,0,7,0,0,7
16932,2006,Pakistan,PAK,Sweden,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14834,2006,Guinea-Bissau,GNB,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15508,2006,Burkina Faso,BFA,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16564,2006,Hungary,HUN,Peru,PER,0,0,0,0,0,0,0,0,0,0,0,6,0,6
16712,2006,Colombia,COL,El Salvador,SLV,0,0,0,0,0,0,0,0,5,0,0,0,0,5
15095,2006,Viet Nam,VNM,Czechia,CZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15970,2006,Iran (Islamic Rep. of),IRN,Italy,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16241,2006,Somalia,SOM,Malta,MLT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16279,2006,Chad,TCD,Netherlands,NLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17381,2006,Somalia,SOM,Yemen,YEM,1751,4828,4826,19250,1324,0,31979,1711,5171,5172,46419,1135,0,59608
15626,2006,Sudan,SDN,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14486,2006,Azerbaijan,AZE,Austria,AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15805,2006,Chad,TCD,Cote d'Ivoire,CIV,0,0,0,6,0,0,6,0,0,0,10,0,0,10
17021,2006,Mongolia,MNG,Switzerland,CHE,0,0,0,0,0,17,17,0,0,0,0,0,18,18
17258,2006,Germany,DEU,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17302,2006,Malaysia,MYS,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15036,2006,Guatemala,GTM,Cuba,CUB,0,0,0,5,0,0,5,0,0,0,0,0,0,0
14740,2006,United Rep. of Tanzania,TZA,Brazil,BRA,0,0,0,0,0,0,0,0,0,0,0,0,5,5
14493,2006,Bosnia and Herzegovina,BIH,Austria,AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14605,2006,Liberia,LBR,Belgium,BEL,0,0,0,0,0,9,9,0,0,0,0,0,6,6
15787,2006,Uganda,UGA,Hungary,HUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15268,2006,Turkey,TUR,Finland,FIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16424,2006,Palestinian,PSE,Norway,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15759,2006,Palestinian,PSE,Hungary,HUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15479,2006,Uzbekistan,UZB,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16647,2006,Azerbaijan,AZE,Romania,ROU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16730,2006,Chad,TCD,Senegal,SEN,0,0,0,9,0,0,9,0,0,0,16,0,0,16
16566,2006,Iraq,IRQ,Peru,PER,0,0,0,5,0,0,5,0,0,0,8,0,0,8
14915,2006,Switzerland,CHE,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16663,2006,Sierra Leone,SLE,Romania,ROU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15707,2006,Turkey,TUR,Greece,GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16640,2006,Sudan,SDN,Portugal,PRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16529,2006,Syrian Arab Rep.,SYR,Oman,OMN,0,0,7,0,0,0,7,0,0,0,0,0,0,0
16008,2006,Lebanon,LBN,Jordan,JOR,0,0,0,0,0,0,0,0,0,0,5,0,0,5
15468,2006,Viet Nam,VNM,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16007,2006,Iraq,IRQ,Jordan,JOR,18,43,57,206,11,0,335,21,41,50,236,16,0,364
14883,2006,Netherlands,NLD,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16516,2006,Russian Federation,RUS,New Zealand,NZL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15009,2006,Congo,COG,Dem. Rep. of the Congo,COD,58,110,0,167,0,0,335,61,127,0,279,15,0,482
16926,2006,Myanmar,MMR,Sweden,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16775,2006,Ethiopia,ETH,Spain,ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16227,2006,Eritrea,ERI,Malta,MLT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16754,2006,Afghanistan,AFG,Spain,ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15702,2006,Sierra Leone,SLE,Greece,GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15863,2006,Palestinian,PSE,Ireland,IRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15732,2006,Pakistan,PAK,"China, Hong Kong SAR",HKG,0,0,0,6,0,0,6,0,0,0,12,0,0,12
14292,2006,Serbia and Kosovo: S/RES/1244 (1999),SRB,Albania,ALB,0,0,6,12,0,0,18,0,0,9,13,0,0,22
17080,2006,China,CHN,Thailand,THA,0,6,0,34,6,0,46,6,0,0,17,5,0,28
15439,2006,Dem. People's Rep. of Korea,PRK,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16865,2006,Bangladesh,BGD,Sweden,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17292,2006,Sri Lanka,LKA,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17004,2006,Italy,ITA,Switzerland,CHE,0,0,0,0,0,5,5,0,0,0,0,0,0,0
16530,2006,Afghanistan,AFG,Pakistan,PAK,0,0,0,0,0,520112,520112,0,0,0,0,0,523872,523872
16511,2006,Sri Lanka,LKA,New Zealand,NZL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16110,2006,Guinea,GIN,Mauritania,MRT,0,0,0,0,0,0,0,0,0,0,9,0,0,9
14366,2006,Lebanon,LBN,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,5,0,0,5
16580,2006,Russian Federation,RUS,Papua New Guinea,PNG,0,0,5,0,0,0,5,0,0,0,0,0,0,0
14659,2006,Somalia,SOM,Bangladesh,BGD,0,0,0,5,0,0,5,0,0,0,8,0,0,8
16528,2006,Stateless,XXA,New Zealand,NZL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16625,2006,Dem. Rep. of the Congo,COD,Portugal,PRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16845,2006,Dem. Rep. of the Congo,COD,Eswatini,SWZ,13,6,8,31,0,0,58,13,10,16,20,0,0,59
16835,2006,Iran (Islamic Rep. of),IRN,Slovenia,SVN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14632,2006,United Rep. of Tanzania,TZA,Belgium,BEL,0,0,0,0,0,0,0,0,0,0,0,0,5,5
14958,2006,Pakistan,PAK,China,CHN,0,8,0,12,0,0,20,6,11,0,42,0,0,59
15523,2006,Dem. Rep. of the Congo,COD,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17329,2006,Saudi Arabia,SAU,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14739,2006,Syrian Arab Rep.,SYR,Brazil,BRA,0,0,0,0,0,0,0,0,0,0,0,0,5,5
20114,2007,Israel,ISR,Sweden,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17946,2007,Ecuador,ECU,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17738,2007,Niger,NER,Belgium,BEL,0,0,0,0,0,6,6,0,0,0,0,0,6,6
19318,2007,Togo,TGO,Mauritania,MRT,0,0,6,6,0,0,12,0,5,0,31,0,0,36
19056,2007,North Macedonia,MKD,Ireland,IRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19254,2007,Palestinian,PSE,Libya,LBY,14,82,155,712,51,0,1014,14,71,154,605,95,0,939
19651,2007,Rep. of Moldova,MDA,Norway,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18504,2007,Mongolia,MNG,France,FRA,0,0,0,0,0,120,120,0,0,0,0,0,81,81
20601,2007,Angola,AGO,Zambia,ZMB,2116,1422,2057,4306,705,0,10606,1489,1084,1621,3375,582,0,8151
18972,2007,Chad,TCD,Cote d'Ivoire,CIV,0,0,0,0,0,0,0,0,0,0,5,0,0,5
18102,2007,Haiti,HTI,Chile,CHL,0,0,0,5,0,0,5,0,0,0,0,0,0,0
20540,2007,South Africa,ZAF,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20196,2007,Dem. Rep. of the Congo,COD,Switzerland,CHE,96,113,46,374,26,133,788,117,117,40,145,11,159,589
20486,2007,Iceland,ISL,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20582,2007,Guatemala,GTM,Venezuela (Bolivarian Republic of),VEN,0,0,0,0,0,0,0,0,5,0,0,0,0,5
20015,2007,Somalia,SOM,Spain,ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18787,2007,Rwanda,RWA,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18170,2007,Israel,ISR,Costa Rica,CRI,0,0,0,6,0,0,6,0,0,0,7,0,0,7
17972,2007,Indonesia,IDN,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19264,2007,Egypt,EGY,Lebanon,LBN,0,0,0,7,0,0,7,0,0,0,8,0,0,8
17569,2007,El Salvador,SLV,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19584,2007,Angola,AGO,Nigeria,NGA,0,0,0,0,0,0,0,0,0,0,8,0,0,8
19502,2007,Georgia,GEO,Netherlands,NLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18325,2007,Afghanistan,AFG,Ecuador,ECU,0,9,0,21,0,0,30,0,0,9,25,5,0,39
18190,2007,El Salvador,SLV,Cuba,CUB,0,0,0,6,0,0,6,0,0,0,0,0,0,0
17507,2007,Bhutan,BTN,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19760,2007,Bolivia (Plurinational State of),BOL,Peru,PER,0,5,0,0,0,0,5,0,0,0,0,0,0,0
18454,2007,Central African Rep.,CAF,France,FRA,0,0,0,0,0,218,218,0,0,0,0,0,279,279
18964,2007,Serbia and Kosovo: S/RES/1244 (1999),SRB,Iceland,ISL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18293,2007,Liberia,LBR,Denmark,DNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20046,2007,Stateless,XXA,Slovakia,SVK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18704,2007,Djibouti,DJI,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19522,2007,Liberia,LBR,Netherlands,NLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18362,2007,Djibouti,DJI,Ethiopia,ETH,0,7,0,10,5,0,22,11,0,0,22,0,0,33
19083,2007,Turkey,TUR,Ireland,IRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17899,2007,Turkey,TUR,Bulgaria,BGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19286,2007,Iraq,IRQ,Sri Lanka,LKA,0,6,0,0,0,0,6,0,0,0,5,0,0,5
18121,2007,Equatorial Guinea,GNQ,Cameroon,CMR,0,5,0,13,0,0,18,0,0,5,13,0,0,18
17506,2007,Bangladesh,BGD,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19040,2007,Iraq,IRQ,Ireland,IRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19239,2007,Iraq,IRQ,Kuwait,KWT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19578,2007,Colombia,COL,Nicaragua,NIC,0,0,0,6,0,0,6,0,0,0,11,0,0,11
19508,2007,Croatia,HRV,Netherlands,NLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17898,2007,Tunisia,TUN,Bulgaria,BGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17582,2007,Timor-Leste,TLS,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17961,2007,Greece,GRC,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18876,2007,Ukraine,UKR,Greece,GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17635,2007,Sri Lanka,LKA,Austria,AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20490,2007,Iran (Islamic Rep. of),IRN,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17797,2007,Afghanistan,AFG,Belarus,BLR,9,44,23,97,5,0,178,6,38,27,200,5,0,276
18502,2007,Rep. of Moldova,MDA,France,FRA,0,0,0,0,0,179,179,0,0,0,0,0,180,180
19373,2007,Nigeria,NGA,Mali,MLI,0,5,9,19,0,0,33,5,0,9,29,0,0,43
19481,2007,Belarus,BLR,Netherlands,NLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17998,2007,Rep. of Moldova,MDA,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17488,2007,Sudan,SDN,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,5,0,0,5
18610,2007,Liberia,LBR,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19313,2007,Iraq,IRQ,Mauritania,MRT,0,0,8,7,0,0,15,0,9,7,17,0,0,33
18786,2007,Russian Federation,RUS,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030,2007,Ethiopia,ETH,Sudan,SDN,34,21,382,933,34,4278,5682,39,29,377,1297,39,3953,5734
19287,2007,Pakistan,PAK,Sri Lanka,LKA,13,15,8,38,5,0,79,6,17,9,50,0,0,82
20429,2007,Burundi,BDI,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17679,2007,Armenia,ARM,Belgium,BEL,0,0,0,0,0,22,22,0,0,0,0,0,23,23
19888,2007,Malawi,MWI,South Africa,ZAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19387,2007,India,IND,Malaysia,MYS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18860,2007,Libya,LBY,Greece,GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18490,2007,Kenya,KEN,France,FRA,0,0,0,0,0,10,10,0,0,0,0,0,6,6
18466,2007,Ecuador,ECU,France,FRA,0,0,0,0,0,12,12,0,0,0,0,0,18,18
19780,2007,Somalia,SOM,Philippines,PHL,0,0,0,0,0,0,0,0,0,0,5,0,0,5
18627,2007,Niger,NER,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17779,2007,Rwanda,RWA,Benin,BEN,7,11,11,31,5,0,65,8,12,5,55,0,0,80
17890,2007,Nigeria,NGA,Bulgaria,BGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18624,2007,Mauritius,MUS,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18068,2007,Burkina Faso,BFA,Central African Rep.,CAF,0,0,0,0,0,0,0,0,5,0,0,0,0,5
17689,2007,Bulgaria,BGR,Belgium,BEL,0,0,0,0,0,22,22,0,0,0,0,0,23,23
20071,2007,Algeria,DZA,Sweden,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17463,2007,Georgia,GEO,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,5,0,0,5
19910,2007,Pakistan,PAK,Russian Federation,RUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18264,2007,Armenia,ARM,Denmark,DNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19401,2007,Thailand,THA,Malaysia,MYS,5,9,8,37,0,0,59,0,8,7,43,5,0,63
19202,2007,Stateless,XXA,Japan,JPN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17789,2007,Dem. Rep. of the Congo,COD,Burkina Faso,BFA,0,0,6,12,0,0,18,0,0,5,30,0,0,35
20534,2007,Peru,PER,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19102,2007,Liberia,LBR,Israel,ISR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20434,2007,Bhutan,BTN,United States of America,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20256,2007,Turkmenistan,TKM,Switzerland,CHE,0,0,0,0,0,0,0,0,0,0,8,0,0,8
