,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Female 0 - 4,Female 5 - 11,Female 12 - 17,Female 18 - 59,Female 60,Female other,Female total,Male 0 - 4,Male 5 - 11,Male 12 - 17,Male 18 - 59,Male 60,Male other,Male total
4280,2002,Rwanda,RWA,Malawi,MWI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4636,2002,Poland,POL,Peru,PER,0,0,0,0,0,0,0,0,0,0,0,5,0,5
4327,2002,Algeria,DZA,Malta,MLT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2751,2002,Bulgaria,BGR,Austria,AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3946,2002,Ghana,GHA,Cote d'Ivoire,CIV,0,6,0,0,0,0,6,0,5,0,9,0,0,14
4226,2002,Chile,CHL,Mexico,MEX,0,0,0,0,0,0,0,0,0,0,8,0,0,8
3761,2002,Norway,NOR,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4591,2002,Serbia and Kosovo: S/RES/1244 (1999),SRB,New Zealand,NZL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3960,2002,Congo,COG,India,IND,0,0,0,0,0,0,0,0,0,0,5,0,0,5
3250,2002,Stateless,XXA,Colombia,COL,0,0,0,0,0,0,0,0,0,0,5,0,0,5
7954,2003,Liberia,LBR,Switzerland,CHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7217,2003,Bhutan,BTN,Nepal,NPL,3805,8671,7433,23962,2456,4560,50887,4051,8896,7625,24634,2997,4560,52763
7420,2003,Serbia and Kosovo: S/RES/1244 (1999),SRB,Norway,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6271,2003,Congo,COG,Finland,FIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5792,2003,Morocco,MAR,Brazil,BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600,2003,Mongolia,MNG,Austria,AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6906,2003,Zambia,ZMB,Ireland,IRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7750,2003,Tajikistan,TJK,Spain,ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6551,2003,Cabo Verde,CPV,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7643,2003,Lithuania,LTU,Russian Federation,RUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6091,2003,Palestinian,PSE,Cuba,CUB,0,0,0,6,0,0,6,0,0,0,0,0,0,0
7777,2003,Russian Federation,RUS,Slovakia,SVK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7480,2003,Zimbabwe,ZWE,New Zealand,NZL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5986,2003,United States of America,USA,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7738,2003,Pakistan,PAK,Spain,ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6675,2003,Togo,TGO,Ghana,GHA,36,47,41,127,6,0,257,39,44,38,148,8,0,277
6632,2003,Romania,ROU,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5826,2003,Sierra Leone,SLE,Bulgaria,BGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6377,2003,North Macedonia,MKD,France,FRA,0,0,0,0,0,35,35,0,0,0,0,0,49,49
6540,2003,Central African Rep.,CAF,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6354,2003,Guinea-Bissau,GNB,France,FRA,0,0,0,0,0,220,220,0,0,0,0,0,611,611
7149,2003,Bosnia and Herzegovina,BIH,Morocco,MAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6882,2003,Rep. of Moldova,MDA,Ireland,IRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5485,2003,Canada,CAN,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6941,2003,Cuba,CUB,Italy,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6774,2003,Romania,ROU,Hungary,HUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5758,2003,Burundi,BDI,Botswana,BWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6174,2003,Croatia,HRV,Denmark,DNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6657,2003,Tonga,TON,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7790,2003,Burundi,BDI,Eswatini,SWZ,13,15,13,22,0,0,63,5,9,8,70,0,0,92
5916,2003,Jamaica,JAM,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5734,2003,Burundi,BDI,Burkina Faso,BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7129,2003,Indonesia,IDN,Malaysia,MYS,74,26,23,387,0,0,510,79,32,28,2542,7,0,2688
6561,2003,Ethiopia,ETH,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6296,2003,Pakistan,PAK,Finland,FIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7002,2003,Palestinian,PSE,Kazakhstan,KAZ,0,0,0,0,0,0,0,0,0,0,11,0,0,11
7432,2003,Tunisia,TUN,Norway,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6947,2003,Ghana,GHA,Italy,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7175,2003,Somalia,SOM,Morocco,MAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6333,2003,Chad,TCD,France,FRA,0,0,0,0,0,117,117,0,0,0,0,0,401,401
6449,2003,China,CHN,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6412,2003,Angola,AGO,Gabon,GAB,0,6,5,39,5,0,55,0,11,5,44,17,0,77
8272,2003,Poland,POL,Venezuela (Bolivarian Republic of),VEN,0,0,0,0,0,0,0,0,0,0,5,0,0,5
6719,2003,Peru,PER,Guatemala,GTM,0,0,0,0,0,0,0,0,0,0,6,0,0,6
7526,2003,Rwanda,RWA,Philippines,PHL,0,0,0,7,0,0,7,0,0,0,0,0,0,0
7616,2003,Cote d'Ivoire,CIV,South Africa,ZAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6982,2003,Somalia,SOM,Jordan,JOR,0,5,0,5,0,0,10,6,0,0,30,0,0,36
7133,2003,Philippines,PHL,Malaysia,MYS,0,0,0,0,0,0,0,0,0,0,7,0,0,7
6619,2003,Netherlands,NLD,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5640,2003,Burundi,BDI,Belgium,BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5962,2003,Senegal,SEN,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
