year,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,country_origin,country_origin(ISO),region,continent,location,total_deaths,total_affected,geo_locations
2001,Natural,Geophysical,Earthquake,Ground movement,El Salvador,SLV,Central America,Americas,"La Paz, Cuscatlan, San Vicente, San Salvador, Morazan, La Libertad provinces ; San Juan Tepezontes district (La Paz province), Cojutepeque district (Cuscatlan province)",315.0,256021.0,"Cuscatlan, La Libertad, La Paz, Morazan, San Salvador, San Vicente (Adm1)."
2001,Natural,Hydrological,Flood,Flash flood,Brazil,BRA,South America,Americas,"Rio de Janeiro city (Rio de Janeiro district, Rio de Janeiro province), Petropolis, Paracambi, Duque de Caxias, Belford Roxo, Niteori, Japeri, Bom Jardim districts (Rio de Janeiro province)",50.0,1946.0,"Belford Roxo, Bom Jardim, Duque De Caxias, Japeri, Niteroi, Paracambi, Petropolis, Rio De Janeiro (Adm2)."
2001,Natural,Hydrological,Flood,Riverine flood,Brazil,BRA,South America,Americas,"Jaguare, Rio Banal, Nova Venecia districts (Espirito Santo province), Minas Gerais province",12.0,5100.0,"Minas Gerais (Adm1). Jaguare, Nova Venecia, Rio Bananal (Adm2)."
2001,Natural,Geophysical,Earthquake,Ground movement,China,CHN,Eastern Asia,Asia,"Shidian area (Baoshan district, Yunnan Sheng province)",2.0,150190.0,Baoshan (Adm2).
2001,Natural,Meteorological,Storm,Convective storm,United States of America  ,USA,Northern America,Americas,"Virginia, New Jersey, Pennsylvania, North Carolina, West Virginia, Maryland provinces",11.0,100.0,"Maryland, New Jersey, North Carolina, Pennsylvania, Virginia, West Virginia (Adm1)."
2001,Natural,Hydrological,Flood,Riverine flood,Philippines ,PHL,South-Eastern Asia,Asia,"Silay City area (Negros Occidental district, Region VI province)",2.0,12000.0,Negros Occidental (Adm2).
2001,Natural,Meteorological,Storm,Tropical cyclone,Philippines ,PHL,South-Eastern Asia,Asia,"Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas), Autonomous region in Muslim Mindanao (ARMM), Region IX (Zamboanga Peninsula), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen), Region XIII (Caraga) provinces",55.0,100084.0,"Autonomous region in Muslim Mindanao (ARMM), Region IX (Zamboanga Peninsula), Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen), Region XIII (Caraga) (Adm1)."
2001,Natural,Meteorological,Extreme temperature,Cold wave,Russian Federation ,RUS,Eastern Europe,Europe,"Bratsk, Oust-Ilimsk, Tayshet, Irkutsk cities (Irkutskaya Oblast province), Novosibirsk city (Novosibirskaya Oblast province), Poligus city (Evenkiyskiy Okrug province)",145.0,6120.0,"Evenkiyskiy Okrug, Irkutskaya Oblast, Novosibirskaya Oblast (Adm1)."
2001,Natural,Meteorological,Storm,Convective storm,Syrian Arab Republic,SYR,Western Asia,Asia,"Dayr_Az_Zor, Dara provinces",27.0,172.0,"Dara, Dayr_Az_Zor (Adm1)."
2001,Natural,Hydrological,Flood,Flash flood,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,"Jangwani area (Ilala district, Dar-es-salaam province), Mtoni area (Temeke district, Dar-es-salaam province), Kigogo, Kinondoni, Manzese, Ubungo area (Kinondoni district, Dar-es-salaam province) Dar es Salaam city, area.",5.0,200.0,"Ilala, Kinondoni, Temeke (Adm2)."
2001,Natural,Hydrological,Landslide,Landslide,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,"Mtanga village (Kigoma Rural district, Kigoma province)",13.0,150.0,Kigoma Rural (Adm2).
2001,Natural,Hydrological,Flood,Riverine flood,Ukraine,UKR,Eastern Europe,Europe,"Palad, Khust, Shaiany, Sasovo towns (Zakarpats'ka province)",9.0,300000.0,Zakarpats'ka (Adm1).
2001,Natural,Meteorological,Storm,Convective storm,United States of America  ,USA,Northern America,Americas,"Calhoun, Lee, Pontotoc, Prentiss, Union districts (Mississippi province)",7.0,930.0,"Calhoun, Lee, Pontotoc, Prentiss, Union (Adm2)."
2001,Natural,Geophysical,Earthquake,Ground movement,United States of America  ,USA,Northern America,Americas,"Seattle city (King district), Tacoma city (Pierce district), Olympia city (Thurston district) (Washington province)",1.0,400.0,"King, Pierce, Thurston (Adm2)."
2001,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,AFG,Southern Asia,Asia,"Panjsher, Parwan, Kapisa provinces",4.0,270.0,"Kapisa, Panjsher, Parwan (Adm1)."
2001,Natural,Meteorological,Extreme temperature,Cold wave,Afghanistan,AFG,Southern Asia,Asia,Kunduz province,177.0,100000.0,Kunduz (Adm1).
2001,Natural,Hydrological,Flood,Riverine flood,Angola,AGO,Middle Africa,Africa,"Xangongo village (Ombadja district, Cunene province), Onjiva village (Cuanhama district, Cunene province), Luacho, Senje, Muhaningo, Seco, Dombre-Grande, Canto villages (Baia Farta district, Benguela province), Namibe city, Macala, Lucira villages (Namibe district, Namibe province), Bibala, Camacuio districts (Namibe province), Lubango, Quipungo, Caluquembe districts (Huila province), Namacunde district (Cunene province), Luanda district (Luanda province), Bengo province",48.0,39928.0,"Bengo (Adm1). Baia Farta, Bibala, Caluquembe, Camacuio, Cuanhama, Luanda, Lubango, Namacunde, Namibe, Ombadja, Quipungo (Adm2)."
2001,Natural,Hydrological,Flood,Riverine flood,Argentina,ARG,South America,Americas,"Buenos Aires, Cordoba, La Pampa, Santa Fe provinces",1.0,250000.0,"Buenos Aires, Cordoba, La Pampa, Santa Fe (Adm1)."
2001,Natural,Meteorological,Extreme temperature,Cold wave,Argentina,ARG,South America,Americas,"Chubut, Neuquen, Rio Negro (Patagonia), Catamarca, Buenos Aires provinces",14.0,3000.0,"Buenos Aires, Catamarca, Chubut, Neuquen, Rio Negro (Adm1)."
2001,Natural,Hydrological,Flood,Riverine flood,Australia,AUS,Australia and New Zealand,Oceania,"Maclean, Yamba villages (Clarence Valley district, New South Wales province), Lismore, Woodburn villages (Lismore district, New South Wales province), Mullumbimby village (Byron district, New South Wales province), Murwillumbah area (Tweed district, New South Wales province), Smithtown, Gladstone areas (Kempsey district, New South Wales province), Coffs Harbour, Ballina, Kyogle, New South Wales",3.0,3001.0,"Ballina (A), Byron (A), Clarence Valley (A), Coffs Harbour (C), Kempsey (A), Kyogle (A), Lismore (C), Tweed (A) (Adm2)."
2001,Natural,Meteorological,Storm,Convective storm,Bangladesh,BGD,Southern Asia,Asia,"Lalmonirhat, Nilphamari, Gaibandha, Rangpur districts (Rangpur province)",12.0,25450.0,"Gaibandha, Lalmonirhat, Nilphamari, Rangpur (Adm2)."
2001,Natural,Hydrological,Flood,Riverine flood,Bangladesh,BGD,Southern Asia,Asia,"Nilphamari district (Rangpur province), Brahamanbaria district (Chittagong province), Sylhet province",9.0,500000.0,"Sylhet (Adm1). Brahamanbaria, Nilphamari (Adm2)."
2001,Natural,Meteorological,Storm,Tropical cyclone,Bangladesh,BGD,Southern Asia,Asia,"Mymensingh, Netrakona, Tangail, Gopalganj districts (Dhaka province), Naogaon district (Rajshahi province), Maulvibazar district (Sylhet province), Chuadanga, Jhenaidah, Meherpur districts (Khulna province), Gaibandha district (Rangpur province), Patuakhali district (Barisal province), Noakhali district (Chittagong province)",12.0,200.0,"Chuadanga, Gaibandha, Gopalganj, Jhenaidah, Maulvibazar, Meherpur, Mymensingh, Naogaon, Netrakona, Noakhali, Patuakhali, Tangail (Adm2)."
2001,Natural,Meteorological,Storm,Tropical cyclone,Bangladesh,BGD,Southern Asia,Asia,"Patuakhali district (Barisal province), Satkhira district (Khulna province)",193.0,2500.0,"Patuakhali, Satkhira (Adm2)."
2001,Natural,Meteorological,Extreme temperature,Cold wave,Bangladesh,BGD,Southern Asia,Asia,"Panchagarh, Thakurgaon, Dinajpur, Nilphamari districts (Rangpur province), Satkhira, Jessore districts (Khulna province), Sylhet, Sunamganj districts (Sylhet province)",6.0,2000.0,"Dinajpur, Jessore, Nilphamari, Panchagarh, Satkhira, Sunamganj, Sylhet, Thakurgaon (Adm2)."
2001,Natural,Meteorological,Storm,Tropical cyclone,Belize,BLZ,Central America,Americas,"Toledo, Stann Creek provinces",30.0,20000.0,"Stann Creek, Toledo (Adm1)."
2001,Natural,Meteorological,Extreme temperature,Cold wave,Bolivia (Plurinational State of),BOL,South America,Americas,"La Paz, Oruro, Cochabamba, Potosi provinces",9.0,5.0,"Cochabamba, La Paz, Oruro, Potosi (Adm1)."
2001,Natural,Meteorological,Storm,Convective storm,Brazil,BRA,South America,Americas,"Santa Catarina, Rio Grande do Sul, Sao Paulo, Parana provinces",13.0,3400.0,"Parana, Rio Grande Do Sul, Santa Catarina, Sao Paulo (Adm1)."
2001,Natural,Hydrological,Flood,Riverine flood,Brazil,BRA,South America,Americas,Cuiaba district (Mato Grosso province),23.0,4000.0,Cuiaba (Adm2).
2001,Natural,Meteorological,Storm,Convective storm,China,CHN,Eastern Asia,Asia,Guangdong Sheng province,6.0,50245.0,Guangdong Sheng (Adm1).
2001,Natural,Geophysical,Earthquake,Ground movement,China,CHN,Eastern Asia,Asia,"Ninglang Yi Zizhixian area (Lijiang district, Yunnan Sheng province), Yanyuan Xian area (Liangshan Yi district, Sichuan Sheng province)",2.0,10605.0,"Liangshan Yi, Lijiang (Adm2)."
2002,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,AFG,Southern Asia,Asia,"Hindu Kush montain (Wakhan district, Badakhshan province), Souchi Bala Payan, Yawan villages (Yawan district, Badakhshan province), Souch village (Jorm district, Badakhshan province), Jurm, Malang Ab villages (Baharak district, Badakhshan province), Rostaq district (Takhar province), Kabul district (Kabul province), Khuram Wa Sarbagh, Aybak districts (Samagan province)",150.0,3513.0,"Aybak, Baharak, Jorm, Kabul, Khuram Wa Sarbagh, Rostaq, Wakhan, Yawan (Adm2)."
2002,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,AFG,Southern Asia,Asia,Nahrin district (Baghlan province),1000.0,91228.0,Nahrin (Adm2).
