,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO)
37616,2012,France,FRA,United States of America,USA
37498,2012,Sri Lanka,LKA,United Arab Emirates,ARE
37300,2012,China,CHN,Switzerland,CHE
36888,2012,Georgia,GEO,Portugal,PRT
37017,2012,Liberia,LBR,Saudi Arabia,SAU
34257,2012,Rwanda,RWA,Angola,AGO
34377,2012,Palestinian,PSE,Australia,AUS
37266,2012,Tajikistan,TJK,Sweden,SWE
35676,2012,Rep. of Korea,KOR,Germany,DEU
36132,2012,Russian Federation,RUS,Italy,ITA
37161,2012,Dem. Rep. of the Congo,COD,Eswatini,SWZ
37301,2012,Chile,CHL,Switzerland,CHE
36166,2012,Syrian Arab Rep.,SYR,Jordan,JOR
37718,2012,Trinidad and Tobago,TTO,United States of America,USA
35878,2012,Liberia,LBR,Hungary,HUN
40652,2013,Azerbaijan,AZE,Spain,ESP
41249,2013,Japan,JPN,United States of America,USA
38803,2013,Sri Lanka,LKA,Ecuador,ECU
38804,2013,Morocco,MAR,Ecuador,ECU
40466,2013,Togo,TGO,Poland,POL
38451,2013,Oman,OMN,Canada,CAN
38595,2013,Eritrea,ERI,Colombia,COL
39784,2013,Afghanistan,AFG,Rep. of Korea,KOR
39535,2013,Azerbaijan,AZE,Ireland,IRL
38179,2013,United Rep. of Tanzania,TZA,Belgium,BEL
39853,2013,Tunisia,TUN,Lebanon,LBN
38542,2013,Costa Rica,CRI,Chile,CHL
40289,2013,Serbia and Kosovo: S/RES/1244 (1999),SRB,Norway,NOR
40166,2013,Peru,PER,Netherlands,NLD
40922,2013,Guinea-Bissau,GNB,Switzerland,CHE
40274,2013,Sri Lanka,LKA,Norway,NOR
39380,2013,Uzbekistan,UZB,Greece,GRC
39756,2013,Stateless,XXA,Japan,JPN
40925,2013,Hungary,HUN,Switzerland,CHE
38136,2013,Hungary,HUN,Belgium,BEL
40750,2013,Stateless,XXA,Slovakia,SVK
40266,2013,Kazakhstan,KAZ,Norway,NOR
38584,2013,Congo,COG,Dem. Rep. of the Congo,COD
40605,2013,Colombia,COL,El Salvador,SLV
40420,2013,Pakistan,PAK,Philippines,PHL
40007,2013,Indonesia,IDN,Malaysia,MYS
40749,2013,Ukraine,UKR,Slovakia,SVK
39676,2013,Iran (Islamic Rep. of),IRN,Italy,ITA
38738,2013,Dem. Rep. of the Congo,COD,Denmark,DNK
39740,2013,Afghanistan,AFG,Japan,JPN
37796,2013,Angola,AGO,Algeria,DZA
41109,2013,Central African Rep.,CAF,Uganda,UGA
40644,2013,United Rep. of Tanzania,TZA,Somalia,SOM
39575,2013,North Macedonia,MKD,Ireland,IRL
39282,2013,Sierra Leone,SLE,Germany,DEU
40774,2013,Zimbabwe,ZWE,Eswatini,SWZ
40764,2013,Angola,AGO,Eswatini,SWZ
37983,2013,Senegal,SEN,Australia,AUS
39643,2013,Bangladesh,BGD,Italy,ITA
40111,2013,Cambodia,KHM,Netherlands,NLD
40293,2013,Sudan,SDN,Norway,NOR
40583,2013,Iraq,IRQ,Russian Federation,RUS
41080,2013,Kyrgyzstan,KGZ,Turkey,TUR
38245,2013,Argentina,ARG,Brazil,BRA
37928,2013,Congo,COG,Australia,AUS
39854,2013,Turkey,TUR,Lebanon,LBN
38011,2013,Angola,AGO,Austria,AUT
40757,2013,Kazakhstan,KAZ,Slovenia,SVN
39154,2013,Togo,TGO,United Kingdom of Great Britain and Northern Ireland,GBR
41119,2013,United Rep. of Tanzania,TZA,Uganda,UGA
38660,2013,Lebanon,LBN,Cyprus,CYP
39311,2013,Congo,COG,Ghana,GHA
38635,2013,Sierra Leone,SLE,Costa Rica,CRI
40157,2013,Malawi,MWI,Netherlands,NLD
38084,2013,Yemen,YEM,Austria,AUT
40952,2013,Peru,PER,Switzerland,CHE
41298,2013,South Africa,ZAF,United States of America,USA
38830,2013,Sri Lanka,LKA,Estonia,EST
37844,2013,Serbia and Kosovo: S/RES/1244 (1999),SRB,Egypt,EGY
40159,2013,Morocco,MAR,Netherlands,NLD
39657,2013,Cuba,CUB,Italy,ITA
38650,2013,Dem. Rep. of the Congo,COD,Cyprus,CYP
40295,2013,United Rep. of Tanzania,TZA,Norway,NOR
39027,2013,Central African Rep.,CAF,Gabon,GAB
40125,2013,Gambia,GMB,Netherlands,NLD
37830,2013,Djibouti,DJI,Egypt,EGY
38164,2013,Nigeria,NGA,Belgium,BEL
38681,2013,Azerbaijan,AZE,Czechia,CZE
38750,2013,Kenya,KEN,Denmark,DNK
38559,2013,Gabon,GAB,Cameroon,CMR
39414,2013,Georgia,GEO,Croatia,HRV
39994,2013,Cote d'Ivoire,CIV,Mali,MLI
39052,2013,Algeria,DZA,United Kingdom of Great Britain and Northern Ireland,GBR
40352,2013,Turkey,TUR,New Zealand,NZL
39979,2013,Sri Lanka,LKA,Mexico,MEX
38824,2013,Somalia,SOM,Eritrea,ERI
41364,2013,Viet Nam,VNM,Yemen,YEM
38320,2013,Jordan,JOR,Bulgaria,BGR
40206,2013,Sudan,SDN,Niger,NER
40807,2013,Estonia,EST,Sweden,SWE
39043,2013,Cote d'Ivoire,CIV,Gambia,GMB
38035,2013,Guinea-Bissau,GNB,Austria,AUT
39384,2013,El Salvador,SLV,Guatemala,GTM
41028,2013,Togo,TGO,Thailand,THA
39860,2013,China,CHN,Liechtenstein,LIE
41646,2014,Estonia,EST,Austria,AUT
43902,2014,Viet Nam,VNM,Netherlands,NLD
42920,2014,South Africa,ZAF,Germany,DEU
43936,2014,Honduras,HND,Nicaragua,NIC
44250,2014,Senegal,SEN,Portugal,PRT
41966,2014,Burundi,BDI,Canada,CAN
43839,2014,Chad,TCD,Netherlands,NLD
41770,2014,Sri Lanka,LKA,Belgium,BEL
42666,2014,Yemen,YEM,France,FRA
43935,2014,Guatemala,GTM,Nicaragua,NIC
41667,2014,Sri Lanka,LKA,Austria,AUT
44906,2014,Liberia,LBR,Uganda,UGA
44390,2014,Palestinian,PSE,Saudi Arabia,SAU
41868,2014,Armenia,ARM,Brazil,BRA
44150,2014,Venezuela (Bolivarian Republic of),VEN,Peru,PER
43640,2014,Congo,COG,Mauritania,MRT
44316,2014,Kenya,KEN,South Africa,ZAF
44065,2014,Israel,ISR,New Zealand,NZL
43613,2014,Peru,PER,Luxembourg,LUX
43404,2014,Turkey,TUR,Italy,ITA
43766,2014,Somalia,SOM,Mozambique,MOZ
44166,2014,Uganda,UGA,Philippines,PHL
42246,2014,Honduras,HND,Costa Rica,CRI
43776,2014,Eritrea,ERI,Malta,MLT
42852,2014,Cabo Verde,CPV,Germany,DEU
43510,2014,Lebanon,LBN,Kuwait,KWT
41804,2014,Ukraine,UKR,Belgium,BEL
42400,2014,Turkey,TUR,Denmark,DNK
44883,2014,Syrian Arab Rep.,SYR,Turkey,TUR
42620,2014,Madagascar,MDG,France,FRA
42213,2014,Liberia,LBR,Dem. Rep. of the Congo,COD
44602,2014,Croatia,HRV,Sweden,SWE
43789,2014,Pakistan,PAK,Malta,MLT
43818,2014,Myanmar,MMR,Nepal,NPL
43554,2014,Dem. Rep. of the Congo,COD,Lesotho,LSO
43906,2014,United Rep. of Tanzania,TZA,Netherlands,NLD
41707,2014,Iraq,IRQ,Azerbaijan,AZE
42423,2014,Eritrea,ERI,Ecuador,ECU
45133,2014,Stateless,XXA,United States of America,USA
43809,2014,Somalia,SOM,Namibia,NAM
44729,2014,Montenegro,MNE,Switzerland,CHE
43322,2014,Burundi,BDI,Italy,ITA
42794,2014,Syrian Arab Rep.,SYR,United Kingdom of Great Britain and Northern Ireland,GBR
44079,2014,El Salvador,SLV,New Zealand,NZL
43679,2014,Dem. Rep. of the Congo,COD,Mexico,MEX
41658,2014,Iraq,IRQ,Austria,AUT
44059,2014,Ethiopia,ETH,New Zealand,NZL
44220,2014,Belarus,BLR,Portugal,PRT
44705,2014,Guinea,GIN,Switzerland,CHE
43953,2014,Sudan,SDN,Nigeria,NGA
42676,2014,Rwanda,RWA,Gabon,GAB
45165,2014,Palestinian,PSE,Zambia,ZMB
42733,2014,Guatemala,GTM,United Kingdom of Great Britain and Northern Ireland,GBR
41650,2014,Ghana,GHA,Austria,AUT
43418,2014,Eritrea,ERI,Jordan,JOR
45168,2014,South Africa,ZAF,Zambia,ZMB
41943,2014,Pakistan,PAK,Bulgaria,BGR
43331,2014,Chad,TCD,Italy,ITA
42716,2014,Dem. Rep. of the Congo,COD,United Kingdom of Great Britain and Northern Ireland,GBR
43472,2014,Iran (Islamic Rep. of),IRN,Kyrgyzstan,KGZ
44706,2014,Croatia,HRV,Switzerland,CHE
44101,2014,Syrian Arab Rep.,SYR,Pakistan,PAK
42010,2014,Ghana,GHA,Canada,CAN
41941,2014,Lebanon,LBN,Bulgaria,BGR
43933,2014,Colombia,COL,Nicaragua,NIC
44721,2014,Sri Lanka,LKA,Switzerland,CHE
42190,2014,Sudan,SDN,Cameroon,CMR
43750,2014,Cameroon,CMR,Morocco,MAR
42811,2014,Yemen,YEM,United Kingdom of Great Britain and Northern Ireland,GBR
42781,2014,South Africa,ZAF,United Kingdom of Great Britain and Northern Ireland,GBR
43781,2014,Cote d'Ivoire,CIV,Malta,MLT
43385,2014,Philippines,PHL,Italy,ITA
44086,2014,Syrian Arab Rep.,SYR,New Zealand,NZL
44755,2014,Turkey,TUR,Switzerland,CHE
43996,2014,Kyrgyzstan,KGZ,Norway,NOR
44996,2014,China,CHN,United States of America,USA
42319,2014,Ethiopia,ETH,Czechia,CZE
41849,2014,Pakistan,PAK,Bolivia (Plurinational State of),BOL
42903,2014,Mongolia,MNG,Germany,DEU
42136,2014,Central African Rep.,CAF,Chad,TCD
44371,2014,Turkmenistan,TKM,Russian Federation,RUS
43717,2014,Cambodia,KHM,Malaysia,MYS
44009,2014,Nepal,NPL,Norway,NOR
41616,2014,United States of America,USA,Australia,AUS
42512,2014,Kazakhstan,KAZ,Finland,FIN
46958,2015,Serbia and Kosovo: S/RES/1244 (1999),SRB,Hungary,HUN
47893,2015,Tajikistan,TJK,Norway,NOR
48188,2015,Liberia,LBR,South Africa,ZAF
47546,2015,Cote d'Ivoire,CIV,Mexico,MEX
47742,2015,Libya,LBY,Netherlands,NLD
46011,2015,Cote d'Ivoire,CIV,Congo,COG
46877,2015,Congo,COG,Guinea,GIN
46262,2015,Sudan,SDN,Ecuador,ECU
45581,2015,Morocco,MAR,Belgium,BEL
45754,2015,Syrian Arab Rep.,SYR,Bulgaria,BGR
48934,2015,Italy,ITA,United States of America,USA
47585,2015,Indonesia,IDN,Malaysia,MYS
47510,2015,Serbia and Kosovo: S/RES/1244 (1999),SRB,North Macedonia,MKD
45256,2015,Uganda,UGA,Egypt,EGY
46365,2015,Ukraine,UKR,Finland,FIN
46464,2015,El Salvador,SLV,France,FRA
45557,2015,Croatia,HRV,Belgium,BEL
47682,2015,Uganda,UGA,Namibia,NAM
47053,2015,Azerbaijan,AZE,Ireland,IRL
46286,2015,Burundi,BDI,Ethiopia,ETH
45780,2015,Bahamas,BHS,Canada,CAN
46391,2015,Chad,TCD,France,FRA
46220,2015,Philippines,PHL,Djibouti,DJI
47158,2015,Algeria,DZA,Italy,ITA
47454,2015,Ethiopia,ETH,Luxembourg,LUX
47389,2015,Bahrain,BHR,Lebanon,LBN
45375,2015,North Macedonia,MKD,Australia,AUS
47111,2015,Rwanda,RWA,Ireland,IRL
46987,2015,Somalia,SOM,Iceland,ISL
46576,2015,Saint Lucia,LCA,United Kingdom of Great Britain and Northern Ireland,GBR
45751,2015,Pakistan,PAK,Bulgaria,BGR
47839,2015,Chad,TCD,Norway,NOR
45381,2015,Mozambique,MOZ,Australia,AUS
48600,2015,Lao People's Dem. Rep.,LAO,Switzerland,CHE
47750,2015,Mongolia,MNG,Netherlands,NLD
48403,2015,Pakistan,PAK,Slovakia,SVK
48402,2015,Mali,MLI,Slovakia,SVK
46401,2015,Djibouti,DJI,France,FRA
47414,2015,Syrian Arab Rep.,SYR,Liechtenstein,LIE
48799,2015,South Sudan,SSD,Uganda,UGA
47567,2015,Cote d'Ivoire,CIV,Mali,MLI
48379,2015,Syrian Arab Rep.,SYR,Sudan,SDN
45955,2015,Guinea,GIN,Chad,TCD
46092,2015,Rep. of Moldova,MDA,Cyprus,CYP
47886,2015,Somalia,SOM,Norway,NOR
47284,2015,China,CHN,Japan,JPN
47308,2015,Eritrea,ERI,Kenya,KEN
45949,2015,Central African Rep.,CAF,Chad,TCD
48875,2015,Bhutan,BTN,United States of America,USA
45947,2015,Cuba,CUB,Cayman Islands,CYM
47784,2015,Zambia,ZMB,Netherlands,NLD
46838,2015,Kenya,KEN,Greece,GRC
46164,2015,Egypt,EGY,Denmark,DNK
47935,2015,Kyrgyzstan,KGZ,New Zealand,NZL
46158,2015,Uzbekistan,UZB,Czechia,CZE
48859,2015,Afghanistan,AFG,United States of America,USA
45326,2015,Armenia,ARM,Australia,AUS
47556,2015,Russian Federation,RUS,Mexico,MEX
45943,2015,Rwanda,RWA,Central African Rep.,CAF
46996,2015,Chad,TCD,Cote d'Ivoire,CIV
45942,2015,Liberia,LBR,Central African Rep.,CAF
46858,2015,Sudan,SDN,Greece,GRC
48880,2015,Brazil,BRA,United States of America,USA
47578,2015,China,CHN,Malaysia,MYS
47142,2015,Jordan,JOR,Iraq,IRQ
45709,2015,Nepal,NPL,Brazil,BRA
45315,2015,Cote d'Ivoire,CIV,Armenia,ARM
47009,2015,Togo,TGO,Cote d'Ivoire,CIV
45893,2015,Saudi Arabia,SAU,Canada,CAN
49069,2015,Egypt,EGY,Zimbabwe,ZWE
48411,2015,Afghanistan,AFG,Slovenia,SVN
46022,2015,Congo,COG,Dem. Rep. of the Congo,COD
47191,2015,Georgia,GEO,Italy,ITA
45724,2015,Syrian Arab Rep.,SYR,Brazil,BRA
48144,2015,Iran (Islamic Rep. of),IRN,Romania,ROU
48146,2015,Jordan,JOR,Romania,ROU
47343,2015,Liberia,LBR,Rep. of Korea,KOR
48328,2015,Palestinian,PSE,Spain,ESP
46498,2015,Mauritania,MRT,Gabon,GAB
46181,2015,Guinea-Bissau,GNB,Denmark,DNK
49051,2015,Somalia,SOM,Yemen,YEM
48151,2015,Pakistan,PAK,Romania,ROU
46400,2015,Czechia,CZE,France,FRA
48884,2015,Cambodia,KHM,United States of America,USA
48173,2015,Cameroon,CMR,South Africa,ZAF
50779,2016,El Salvador,SLV,Honduras,HND
49321,2016,Stateless,XXA,Australia,AUS
51112,2016,Sudan,SDN,Italy,ITA
51436,2016,Iran (Islamic Rep. of),IRN,Mexico,MEX
52948,2016,Jordan,JOR,Yemen,YEM
52908,2016,Turkey,TUR,United States of America,USA
50725,2016,Mali,MLI,Greece,GRC
51595,2016,Bangladesh,BGD,Netherlands,NLD
51036,2016,Burkina Faso,BFA,Italy,ITA
49128,2016,Burundi,BDI,Egypt,EGY
49671,2016,Algeria,DZA,Canada,CAN
50104,2016,Ukraine,UKR,Denmark,DNK
52296,2016,Pakistan,PAK,Slovakia,SVK
50650,2016,Yemen,YEM,Germany,DEU
52805,2016,United Kingdom of Great Britain and Northern Ireland,GBR,United States of America,USA
52081,2016,Kenya,KEN,South Africa,ZAF
51947,2016,China,CHN,Poland,POL
50937,2016,Cameroon,CMR,Ireland,IRL
52352,2016,Chile,CHL,Sweden,SWE
51372,2016,Somalia,SOM,Latvia,LVA
52387,2016,Kyrgyzstan,KGZ,Sweden,SWE
52449,2016,Armenia,ARM,Switzerland,CHE
52753,2016,Afghanistan,AFG,United States of America,USA
50989,2016,United Rep. of Tanzania,TZA,Ireland,IRL
52422,2016,Sierra Leone,SLE,Sweden,SWE
51639,2016,Mongolia,MNG,Netherlands,NLD
49518,2016,Mali,MLI,Benin,BEN
49662,2016,Turkey,TUR,Bulgaria,BGR
52246,2016,Rwanda,RWA,Spain,ESP
52538,2016,Uzbekistan,UZB,Switzerland,CHE
49342,2016,Eritrea,ERI,Austria,AUT
49108,2016,Burundi,BDI,Angola,AGO
52701,2016,Azerbaijan,AZE,Ukraine,UKR
50584,2016,Lao People's Dem. Rep.,LAO,Germany,DEU
49257,2016,Italy,ITA,Australia,AUS
52830,2016,Kazakhstan,KAZ,United States of America,USA
49348,2016,Guinea-Bissau,GNB,Austria,AUT
51539,2016,Iran (Islamic Rep. of),IRN,Malta,MLT
51527,2016,Belarus,BLR,Malta,MLT
50814,2016,Eritrea,ERI,Hungary,HUN
50285,2016,Hungary,HUN,France,FRA
51716,2016,Armenia,ARM,Norway,NOR
51073,2016,Kazakhstan,KAZ,Italy,ITA
49873,2016,El Salvador,SLV,Chile,CHL
50090,2016,Nigeria,NGA,Denmark,DNK
51133,2016,Haiti,HTI,Jamaica,JAM
51349,2016,Rwanda,RWA,Luxembourg,LUX
51913,2016,Venezuela (Bolivarian Republic of),VEN,Peru,PER
52524,2016,Somalia,SOM,Switzerland,CHE
52769,2016,Burkina Faso,BFA,United States of America,USA
49660,2016,Syrian Arab Rep.,SYR,Bulgaria,BGR
50443,2016,Saint Lucia,LCA,United Kingdom of Great Britain and Northern Ireland,GBR
52856,2016,Mongolia,MNG,United States of America,USA
50983,2016,Sierra Leone,SLE,Ireland,IRL
52848,2016,Monaco,MCO,United States of America,USA
50528,2016,Bangladesh,BGD,Germany,DEU
49994,2016,Sudan,SDN,Cyprus,CYP
51738,2016,Guinea-Bissau,GNB,Norway,NOR
50809,2016,China,CHN,Hungary,HUN
50707,2016,Gambia,GMB,Greece,GRC
50811,2016,Congo,COG,Hungary,HUN
51299,2016,Afghanistan,AFG,Lithuania,LTU
51627,2016,Dem. People's Rep. of Korea,PRK,Netherlands,NLD
50857,2016,Iraq,IRQ,Iceland,ISL
52526,2016,Viet Nam,VNM,Switzerland,CHE
49607,2016,Lebanon,LBN,Brazil,BRA
51328,2016,Bosnia and Herzegovina,BIH,Luxembourg,LUX
50549,2016,Djibouti,DJI,Germany,DEU
50449,2016,Maldives,MDV,United Kingdom of Great Britain and Northern Ireland,GBR
50696,2016,Bangladesh,BGD,Greece,GRC
52101,2016,Syrian Arab Rep.,SYR,South Africa,ZAF
52428,2016,United Rep. of Tanzania,TZA,Sweden,SWE
50095,2016,Serbia and Kosovo: S/RES/1244 (1999),SRB,Denmark,DNK
51729,2016,Congo,COG,Norway,NOR
50403,2016,Cameroon,CMR,United Kingdom of Great Britain and Northern Ireland,GBR
49796,2016,Somalia,SOM,Canada,CAN
50972,2016,Montenegro,MNE,Ireland,IRL
50986,2016,Sudan,SDN,Ireland,IRL
49156,2016,Albania,ALB,Argentina,ARG
50928,2016,Burundi,BDI,Ireland,IRL
52510,2016,Pakistan,PAK,Switzerland,CHE
52936,2016,Syrian Arab Rep.,SYR,Venezuela (Bolivarian Republic of),VEN
49800,2016,Sudan,SDN,Canada,CAN
51923,2016,Iraq,IRQ,Philippines,PHL
51674,2016,Chad,TCD,Niger,NER
56654,2017,Kyrgyzstan,KGZ,Turkey,TUR
53445,2017,Iran (Islamic Rep. of),IRN,Belarus,BLR
55803,2017,Stateless,XXA,Nauru,NRU
54171,2017,Rwanda,RWA,Finland,FIN
54135,2017,Central African Rep.,CAF,Finland,FIN
56174,2017,Liberia,LBR,Senegal,SEN
55922,2017,China,CHN,Philippines,PHL
56499,2017,North Macedonia,MKD,Switzerland,CHE
55518,2017,Uganda,UGA,Mozambique,MOZ
53836,2017,South Sudan,SSD,Dem. Rep. of the Congo,COD
54424,2017,Qatar,QAT,United Kingdom of Great Britain and Northern Ireland,GBR
55063,2017,Lebanon,LBN,Italy,ITA
56616,2017,Jamaica,JAM,Trinidad and Tobago,TTO
53601,2017,Chad,TCD,Canada,CAN
56853,2017,Latvia,LVA,United States of America,USA
55515,2017,Rwanda,RWA,Mozambique,MOZ
54804,2017,Lebanon,LBN,Hungary,HUN
56186,2017,Sudan,SDN,Somalia,SOM
53332,2017,Bangladesh,BGD,Belgium,BEL
56851,2017,Sri Lanka,LKA,United States of America,USA
54783,2017,Angola,AGO,Hungary,HUN
55415,2017,Cuba,CUB,Mexico,MEX
53288,2017,Somalia,SOM,Austria,AUT
55482,2017,Zimbabwe,ZWE,Malaysia,MYS
53406,2017,Turkmenistan,TKM,Belgium,BEL
55298,2017,Russian Federation,RUS,Lithuania,LTU
56774,2017,Belgium,BEL,United States of America,USA
54438,2017,Sudan,SDN,United Kingdom of Great Britain and Northern Ireland,GBR
54989,2017,Palestinian,PSE,Iraq,IRQ
53940,2017,Georgia,GEO,Czechia,CZE
53561,2017,Mali,MLI,Bulgaria,BGR
53974,2017,Uzbekistan,UZB,Czechia,CZE
55201,2017,Liberia,LBR,Rep. of Korea,KOR
55121,2017,Egypt,EGY,Jordan,JOR
54345,2017,Benin,BEN,United Kingdom of Great Britain and Northern Ireland,GBR
53007,2017,Togo,TGO,Algeria,DZA
53650,2017,Rep. of Korea,KOR,Canada,CAN
56561,2017,Somalia,SOM,Syrian Arab Rep.,SYR
55700,2017,Guinea,GIN,Nigeria,NGA
56877,2017,Oman,OMN,United States of America,USA
53742,2017,Sudan,SDN,Central African Rep.,CAF
55545,2017,Serbia and Kosovo: S/RES/1244 (1999),SRB,Malta,MLT
54928,2017,Guinea,GIN,Ireland,IRL
53803,2017,Liberia,LBR,Cameroon,CMR
55965,2017,Eritrea,ERI,Poland,POL
56586,2017,Pakistan,PAK,Thailand,THA
53905,2017,Kyrgyzstan,KGZ,Cyprus,CYP
53595,2017,Brazil,BRA,Canada,CAN
56426,2017,United Rep. of Tanzania,TZA,Sweden,SWE
54693,2017,Rep. of Moldova,MDA,Greece,GRC
53985,2017,Bhutan,BTN,Denmark,DNK
55693,2017,Congo,COG,Nigeria,NGA
54770,2017,Nigeria,NGA,Croatia,HRV
56361,2017,France,FRA,Sweden,SWE
54671,2017,Dominican Rep.,DOM,Greece,GRC
53572,2017,Pakistan,PAK,Cambodia,KHM
53087,2017,Kazakhstan,KAZ,Argentina,ARG
56954,2017,Ethiopia,ETH,Yemen,YEM
56784,2017,Bulgaria,BGR,United States of America,USA
53706,2017,Suriname,SUR,Canada,CAN
56698,2017,Rwanda,RWA,Uganda,UGA
55856,2017,Myanmar,MMR,Pakistan,PAK
55791,2017,Indonesia,IDN,Nauru,NRU
55562,2017,Serbia and Kosovo: S/RES/1244 (1999),SRB,Montenegro,MNE
55293,2017,Iran (Islamic Rep. of),IRN,Lithuania,LTU
53198,2017,Singapore,SGP,Australia,AUS
53548,2017,Afghanistan,AFG,Bulgaria,BGR
54612,2017,Uzbekistan,UZB,Germany,DEU
54992,2017,Sudan,SDN,Iraq,IRQ
56897,2017,Somalia,SOM,United States of America,USA
56720,2017,Guinea,GIN,Ukraine,UKR
56679,2017,Stateless,XXA,Turkey,TUR
55222,2017,Somalia,SOM,Kuwait,KWT
53846,2017,Hungary,HUN,Colombia,COL
54958,2017,Pakistan,PAK,Ireland,IRL
55229,2017,Syrian Arab Rep.,SYR,Liberia,LBR
54318,2017,Dem. Rep. of the Congo,COD,Gabon,GAB
56539,2017,Western Sahara,ESH,Switzerland,CHE
55604,2017,Dem. Rep. of the Congo,COD,Netherlands,NLD
56420,2017,Somalia,SOM,Sweden,SWE
53829,2017,Congo,COG,Dem. Rep. of the Congo,COD
55990,2017,Turkmenistan,TKM,Poland,POL
54967,2017,Sudan,SDN,Ireland,IRL
53460,2017,Russian Federation,RUS,Bolivia (Plurinational State of),BOL
54900,2017,Yemen,YEM,Indonesia,IDN
60332,2018,Uganda,UGA,Spain,ESP
58513,2018,Armenia,ARM,Germany,DEU
59578,2018,Senegal,SEN,Morocco,MAR
61077,2018,Sierra Leone,SLE,Zambia,ZMB
57839,2018,Mauritania,MRT,Cameroon,CMR
57087,2018,Georgia,GEO,Argentina,ARG
59367,2018,Azerbaijan,AZE,Luxembourg,LUX
58326,2018,Slovakia,SVK,France,FRA
57625,2018,Central African Rep.,CAF,Canada,CAN
59777,2018,Cameroon,CMR,Nigeria,NGA
58243,2018,Comoros,COM,France,FRA
59096,2018,Gambia,GMB,Italy,ITA
58899,2018,Stateless,XXA,Iceland,ISL
59813,2018,Ethiopia,ETH,Norway,NOR
59475,2018,Eritrea,ERI,Mexico,MEX
58367,2018,Armenia,ARM,United Kingdom of Great Britain and Northern Ireland,GBR
60456,2018,Gambia,GMB,Sweden,SWE
58850,2018,Iraq,IRQ,Hungary,HUN
60793,2018,Chad,TCD,Uganda,UGA
60892,2018,Cambodia,KHM,United States of America,USA
57920,2018,Yemen,YEM,Cuba,CUB
57971,2018,Cuba,CUB,Czechia,CZE
57312,2018,Tunisia,TUN,Austria,AUT
58268,2018,Hungary,HUN,France,FRA
59873,2018,Sri Lanka,LKA,Nauru,NRU
58666,2018,Lebanon,LBN,Ghana,GHA
57263,2018,Ghana,GHA,Austria,AUT
59951,2018,Iran (Islamic Rep. of),IRN,Panama,PAN
58802,2018,Venezuela (Bolivarian Republic of),VEN,Honduras,HND
57986,2018,Myanmar,MMR,Czechia,CZE
58895,2018,Syrian Arab Rep.,SYR,Iceland,ISL
59453,2018,Iraq,IRQ,Rep. of Moldova,MDA
57256,2018,Dem. Rep. of the Congo,COD,Austria,AUT
58267,2018,Croatia,HRV,France,FRA
60770,2018,United Arab Emirates,ARE,Turkey,TUR
60903,2018,Colombia,COL,United States of America,USA
59513,2018,Rwanda,RWA,Mali,MLI
61093,2018,Colombia,COL,Curacao ,CUW
60499,2018,Peru,PER,Sweden,SWE
59434,2018,Nigeria,NGA,Mauritania,MRT
60323,2018,Serbia and Kosovo: S/RES/1244 (1999),SRB,Spain,ESP
60924,2018,Ghana,GHA,United States of America,USA
59023,2018,Togo,TGO,Ireland,IRL
57438,2018,Dem. Rep. of the Congo,COD,Benin,BEN
58301,2018,Myanmar,MMR,France,FRA
61091,2018,South Sudan,SSD,Zimbabwe,ZWE
59849,2018,Viet Nam,VNM,Norway,NOR
57449,2018,Colombia,COL,Bahamas,BHS
58641,2018,Turkey,TUR,Germany,DEU
60084,2018,Afghanistan,AFG,Portugal,PRT
58325,2018,South Sudan,SSD,France,FRA
58145,2018,Syrian Arab Rep.,SYR,Ethiopia,ETH
58844,2018,Georgia,GEO,Hungary,HUN
57566,2018,Palestinian,PSE,Bosnia and Herzegovina,BIH
59982,2018,Gambia,GMB,Peru,PER
58843,2018,Palestinian,PSE,Hungary,HUN
59464,2018,Angola,AGO,Mexico,MEX
60211,2018,United States of America,USA,Russian Federation,RUS
58290,2018,North Macedonia,MKD,France,FRA
58864,2018,Sudan,SDN,Hungary,HUN
60298,2018,Guatemala,GTM,Spain,ESP
58422,2018,Kenya,KEN,United Kingdom of Great Britain and Northern Ireland,GBR
59500,2018,Ukraine,UKR,Mexico,MEX
57862,2018,Burundi,BDI,Dem. Rep. of the Congo,COD
57847,2018,Angola,AGO,Congo,COG
59638,2018,Ghana,GHA,Montenegro,MNE
60496,2018,Nicaragua,NIC,Sweden,SWE
60985,2018,Pakistan,PAK,United States of America,USA
58479,2018,Tunisia,TUN,United Kingdom of Great Britain and Northern Ireland,GBR
58540,2018,Cuba,CUB,Germany,DEU
58052,2018,Turkey,TUR,Denmark,DNK
59569,2018,Guinea,GIN,Morocco,MAR
60025,2018,Turkey,TUR,Philippines,PHL
60345,2018,Cameroon,CMR,Sudan,SDN
58105,2018,Viet Nam,VNM,Ecuador,ECU
58744,2018,Sierra Leone,SLE,Greece,GRC
57899,2018,India,IND,Costa Rica,CRI
58234,2018,Bulgaria,BGR,France,FRA
59621,2018,Serbia and Kosovo: S/RES/1244 (1999),SRB,Malta,MLT
60073,2018,Viet Nam,VNM,Poland,POL
57892,2018,Dem. Rep. of the Congo,COD,Costa Rica,CRI
57992,2018,Sierra Leone,SLE,Czechia,CZE
59507,2018,Congo,COG,Mali,MLI
57524,2018,Ghana,GHA,Brazil,BRA
60566,2018,Gambia,GMB,Switzerland,CHE
